index_original,Jour_Incident,Cause_Incident,Nb_TGV_Impactes,Minutes_Retard_Cumulees,Date,Service,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Commentaire annulations,Nombre de trains en retard au départ,Retard moyen des trains en retard au départ,Retard moyen de tous les trains au départ,Commentaire retards au départ,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée,Nombre trains en retard > 15min,Retard moyen trains en retard > 15 (si liaison concurrencée par vol),Nombre trains en retard > 30min,Nombre trains en retard > 60min,Prct retard pour causes externes,Prct retard pour cause infrastructure,Prct retard pour cause gestion trafic,Prct retard pour cause matériel roulant,Prct retard pour cause gestion en gare et réutilisation de matériel,"Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)"
26,7,Dérangement du poste d’aiguillage de Paris Montparnasse,70,1490,2018-01,National,PARIS MONTPARNASSE,LAVAL,84,217,0,,32,11.609375,1.455760369,,66,15.13434343,5.82281106,16,5.82281106,5,2,24.24242424,54.54545455,3.03030303,12.12121212,3.03030303,3.03030303
26,12,Colis suspect en gare de Paris Montparnasse,32,499,2018-01,National,PARIS MONTPARNASSE,LAVAL,84,217,0,,32,11.609375,1.455760369,,66,15.13434343,5.82281106,16,5.82281106,5,2,24.24242424,54.54545455,3.03030303,12.12121212,3.03030303,3.03030303
26,12,Incident caténaire en gare de Rennes,26,2188,2018-01,National,PARIS MONTPARNASSE,LAVAL,84,217,0,,32,11.609375,1.455760369,,66,15.13434343,5.82281106,16,5.82281106,5,2,24.24242424,54.54545455,3.03030303,12.12121212,3.03030303,3.03030303
26,17,Dérangement du poste d’aiguillage de Paris Montparnasse,26,386,2018-01,National,PARIS MONTPARNASSE,LAVAL,84,217,0,,32,11.609375,1.455760369,,66,15.13434343,5.82281106,16,5.82281106,5,2,24.24242424,54.54545455,3.03030303,12.12121212,3.03030303,3.03030303
27,1,Tempête Carmen sur la façade Atlantique,52,1079,2018-01,National,PARIS MONTPARNASSE,VANNES,152,253,1,,38,9.746929825,1.055026455,,39,40.30769231,7.77281746,27,7.742094862,16,8,25.64102564,38.46153846,12.82051282,17.94871795,0.0,5.128205128
27,3,Tempête Eleonor sur l’ouest de la France,35,407,2018-01,National,PARIS MONTPARNASSE,VANNES,152,253,1,,38,9.746929825,1.055026455,,39,40.30769231,7.77281746,27,7.742094862,16,8,25.64102564,38.46153846,12.82051282,17.94871795,0.0,5.128205128
27,5,Dérangement d’une aiguille en gare de Massy TGV,57,1254,2018-01,National,PARIS MONTPARNASSE,VANNES,152,253,1,,38,9.746929825,1.055026455,,39,40.30769231,7.77281746,27,7.742094862,16,8,25.64102564,38.46153846,12.82051282,17.94871795,0.0,5.128205128
27,7,Dérangement du poste d’aiguillage de Paris Montparnasse,70,1490,2018-01,National,PARIS MONTPARNASSE,VANNES,152,253,1,,38,9.746929825,1.055026455,,39,40.30769231,7.77281746,27,7.742094862,16,8,25.64102564,38.46153846,12.82051282,17.94871795,0.0,5.128205128
27,12,Colis suspect en gare de Paris Montparnasse,32,499,2018-01,National,PARIS MONTPARNASSE,VANNES,152,253,1,,38,9.746929825,1.055026455,,39,40.30769231,7.77281746,27,7.742094862,16,8,25.64102564,38.46153846,12.82051282,17.94871795,0.0,5.128205128
27,12,Incident caténaire en gare de Rennes,26,2188,2018-01,National,PARIS MONTPARNASSE,VANNES,152,253,1,,38,9.746929825,1.055026455,,39,40.30769231,7.77281746,27,7.742094862,16,8,25.64102564,38.46153846,12.82051282,17.94871795,0.0,5.128205128
27,17,Dérangement du poste d’aiguillage de Paris Montparnasse,26,386,2018-01,National,PARIS MONTPARNASSE,VANNES,152,253,1,,38,9.746929825,1.055026455,,39,40.30769231,7.77281746,27,7.742094862,16,8,25.64102564,38.46153846,12.82051282,17.94871795,0.0,5.128205128
28,1,Tempête Carmen sur la façade Atlantique,52,1079,2018-01,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,61,410,1,,173,6.719267823,2.954808476,,114,13.04561404,4.359739201,26,4.359739201,9,0,22.72727273,45.45454545,16.66666667,12.12121212,1.515151515,1.515151515
28,3,Tempête Eleonor sur l’ouest de la France,35,407,2018-01,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,61,410,1,,173,6.719267823,2.954808476,,114,13.04561404,4.359739201,26,4.359739201,9,0,22.72727273,45.45454545,16.66666667,12.12121212,1.515151515,1.515151515
28,5,Dérangement d’une aiguille en gare de Massy TGV,57,1254,2018-01,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,61,410,1,,173,6.719267823,2.954808476,,114,13.04561404,4.359739201,26,4.359739201,9,0,22.72727273,45.45454545,16.66666667,12.12121212,1.515151515,1.515151515
28,7,Dérangement du poste d’aiguillage de Paris Montparnasse,70,1490,2018-01,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,61,410,1,,173,6.719267823,2.954808476,,114,13.04561404,4.359739201,26,4.359739201,9,0,22.72727273,45.45454545,16.66666667,12.12121212,1.515151515,1.515151515
28,12,Colis suspect en gare de Paris Montparnasse,32,499,2018-01,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,61,410,1,,173,6.719267823,2.954808476,,114,13.04561404,4.359739201,26,4.359739201,9,0,22.72727273,45.45454545,16.66666667,12.12121212,1.515151515,1.515151515
28,17,Dérangement du poste d’aiguillage de Paris Montparnasse,26,386,2018-01,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,61,410,1,,173,6.719267823,2.954808476,,114,13.04561404,4.359739201,26,4.359739201,9,0,22.72727273,45.45454545,16.66666667,12.12121212,1.515151515,1.515151515
31,10,qui a concerné 14 TGV.,0,0,2018-01,National,LYON PART DIEU,LILLE,189,296,3,,218,10.35810398,7.809613197,,67,44.43731343,12.04897611,64,12.04897611,35,12,30.76923077,32.69230769,9.615384615,17.30769231,3.846153846,5.769230769
33,1,Soin matériel roulant,0,57,2018-01,National,PARIS VAUGIRARD,BORDEAUX ST JEAN,165,63,1,,12,22.31805556,3.89327957,,5,44.55,3.429569892,4,3.429569892,3,1,60.0,0.0,0.0,40.0,0.0,0.0
46,1,Tempête Carmen sur la façade Atlantique,52,1079,2018-01,National,LYON PART DIEU,RENNES,232,88,2,,50,7.033666667,4.213372093,,20,36.05,10.8255814,20,10.8255814,9,2,10.52631579,63.15789474,10.52631579,15.78947368,0.0,0.0
46,3,Tempête Eleonor sur l’ouest de la France,35,407,2018-01,National,LYON PART DIEU,RENNES,232,88,2,,50,7.033666667,4.213372093,,20,36.05,10.8255814,20,10.8255814,9,2,10.52631579,63.15789474,10.52631579,15.78947368,0.0,0.0
46,5,Dérangement d’une aiguille en gare de Massy TGV,57,1254,2018-01,National,LYON PART DIEU,RENNES,232,88,2,,50,7.033666667,4.213372093,,20,36.05,10.8255814,20,10.8255814,9,2,10.52631579,63.15789474,10.52631579,15.78947368,0.0,0.0
46,7,Dérangement du poste d’aiguillage de Paris Montparnasse,70,1490,2018-01,National,LYON PART DIEU,RENNES,232,88,2,,50,7.033666667,4.213372093,,20,36.05,10.8255814,20,10.8255814,9,2,10.52631579,63.15789474,10.52631579,15.78947368,0.0,0.0
46,12,Colis suspect en gare de Paris Montparnasse,32,499,2018-01,National,LYON PART DIEU,RENNES,232,88,2,,50,7.033666667,4.213372093,,20,36.05,10.8255814,20,10.8255814,9,2,10.52631579,63.15789474,10.52631579,15.78947368,0.0,0.0
46,12,Incident caténaire en gare de Rennes,26,2188,2018-01,National,LYON PART DIEU,RENNES,232,88,2,,50,7.033666667,4.213372093,,20,36.05,10.8255814,20,10.8255814,9,2,10.52631579,63.15789474,10.52631579,15.78947368,0.0,0.0
46,17,Dérangement du poste d’aiguillage de Paris Montparnasse,26,386,2018-01,National,LYON PART DIEU,RENNES,232,88,2,,50,7.033666667,4.213372093,,20,36.05,10.8255814,20,10.8255814,9,2,10.52631579,63.15789474,10.52631579,15.78947368,0.0,0.0
49,1,Tempête Carmen sur la façade Atlantique,52,1079,2018-01,National,PARIS MONTPARNASSE,BREST,223,281,1,,39,8.1,0.75172619,,19,46.57894737,4.860714286,19,4.826241135,7,4,21.05263158,47.36842105,10.52631579,21.05263158,0.0,0.0
49,3,Tempête Eleonor sur l’ouest de la France,35,407,2018-01,National,PARIS MONTPARNASSE,BREST,223,281,1,,39,8.1,0.75172619,,19,46.57894737,4.860714286,19,4.826241135,7,4,21.05263158,47.36842105,10.52631579,21.05263158,0.0,0.0
49,5,Dérangement d’une aiguille en gare de Massy TGV,57,1254,2018-01,National,PARIS MONTPARNASSE,BREST,223,281,1,,39,8.1,0.75172619,,19,46.57894737,4.860714286,19,4.826241135,7,4,21.05263158,47.36842105,10.52631579,21.05263158,0.0,0.0
49,7,Dérangement du poste d’aiguillage de Paris Montparnasse,70,1490,2018-01,National,PARIS MONTPARNASSE,BREST,223,281,1,,39,8.1,0.75172619,,19,46.57894737,4.860714286,19,4.826241135,7,4,21.05263158,47.36842105,10.52631579,21.05263158,0.0,0.0
49,12,Colis suspect en gare de Paris Montparnasse,32,499,2018-01,National,PARIS MONTPARNASSE,BREST,223,281,1,,39,8.1,0.75172619,,19,46.57894737,4.860714286,19,4.826241135,7,4,21.05263158,47.36842105,10.52631579,21.05263158,0.0,0.0
49,12,Incident caténaire en gare de Rennes,26,2188,2018-01,National,PARIS MONTPARNASSE,BREST,223,281,1,,39,8.1,0.75172619,,19,46.57894737,4.860714286,19,4.826241135,7,4,21.05263158,47.36842105,10.52631579,21.05263158,0.0,0.0
