Date,Concert,Titre tournée / Concert,Première partie / Invité
11 janvier 2025,Drapeau de la France Drapeau de la Côte d'Ivoire Kaaris,Or Noir Final,-
23 janvier 2025,Drapeau de la France Drapeau du Mali Aya Nakamura Drapeau du Nigeria Burna Boy Drapeau de la Corée du Sud G-Dragon Drapeau de la France Gautier Capuçon Drapeau de la république démocratique du Congo GIMS Drapeau de la Corée du Sud J-Hope Drapeau de la Colombie J Balvin Drapeau des États-Unis John Legend Drapeau des États-Unis Katy Perry Drapeau de la République populaire de Chine Lang Lang Drapeau d'Afrique du Sud Pretty Yende Drapeau de la Corée du Sud Rosé Drapeau de la Corée du Sud Taeyang,Gala des Pièces Jaunes,Teddy Riner
8 février 2025,Drapeau du Mali Sidiki Diabaté,-,Black M KeBlack Ya Levis
22 février 2025,Drapeau de la Corée du Sud Ateez,Towards The Light Tour,-
22 mars 2025,Drapeau de Singapour JJ Lin,Final Lap,-
29 mars 2025,Drapeau des États-Unis Lenny Kravitz,Blue Electric Light Tour 2025,Richard Ashcroft
18 avril 2025,Drapeau de la France Drapeau de la Guinée Gazo,Apocalypse Tour,Bakary Samaké Favé Freeze Corleone La Mano 1.9 Ninho Orelsan Yamê
23 mai 2025,Drapeau du Royaume-Uni Dua Lipa,Radical Optimism Tour,Alessi Rose
24 mai 2025,Drapeau du Royaume-Uni Dua Lipa,Radical Optimism Tour,Alessi Rose
21 juin 2025,Drapeau de l'Italie Ludovico Einaudi,European & UK Tour,-
2 juillet 2025,Drapeau du Royaume-Uni Robbie Williams,Live 25,Lottery Winners
5 juillet 2025,Drapeau des États-Unis Chris Brown,Breezy Bowl XX,Bryson Tiller
13 juillet 2025,Drapeau des États-Unis 50 Cent & Mary J. Blige,Legacy Tour,DJ Noise Busta Flex
15 juillet 2025,Drapeau des États-Unis Kendrick Lamar & SZA,Grand National Tour,DJ Mustard Lizzo
16 juillet 2025,Drapeau des États-Unis Kendrick Lamar & SZA,Grand National Tour,DJ Mustard Lizzo
19 juillet 2025,Drapeau du Royaume-Uni Iron Maiden,Run for Your Lives World Tour 2025,Avatar
20 juillet 2025,Drapeau du Royaume-Uni Iron Maiden,Run for Your Lives World Tour 2025,Avatar
3 septembre 2025,Drapeau des États-Unis Post Malone,Big Ass World Tour,Jelly Roll
20 septembre 2025,Drapeau de la Corée du Sud G-Dragon,2025 WORLD TOUR,-
10 octobre 2025,Drapeau de la France Booba,Némésis,Couvre Feu Sound System
11 octobre 2025,Drapeau de la France Booba,Némésis,Couvre Feu Sound System
12 octobre 2025,Drapeau de la France Booba,Némésis,Couvre Feu Sound System
8 novembre 2025,Drapeau des États-Unis The Offspring,Supercharged Worldwide in' 25,Simple Plan
21 novembre 2025,Drapeau de l'Allemagne Hans Zimmer,Europe Tour,-
29 novembre 2025,Drapeau de la France Vald,-,Suik'on Blaze AD Nono la Grinta Fianso Orelsan Heuss l'Enfoiré Vladimir Cauchemar Todiefor Alkpote Damso
5 décembre 2025,Drapeau de la Belgique Hamza,Insomnia Tour,-
13 décembre 2025,Drapeau de la France Jean-Louis Aubert,50 ans avec vous,-
19 décembre 2025,Drapeau de la république démocratique du Congo GIMS,Last Winter Tour,-
20 décembre 2025,Drapeau de la république démocratique du Congo GIMS,Last Winter Tour,-
21 décembre 2025,Drapeau de la république démocratique du Congo GIMS,Last Winter Tour,-
22 décembre 2025,Drapeau de la république démocratique du Congo GIMS,Last Winter Tour,-
