Nom,Importance,Date de début,Date de fin,Durée,Type,Localisation,Description,Valeurs au hasard,,
Tempête Fabien,Remarquable,21/12/2019,22/12/2019,Ponctuel,tempête/coup de vent orages tornade,"Aquitaine, Auvergne, Bretagne, Corse, Languedoc-Roussillon, Midi-Pyrénées, PACA","Dans un contexte très dépressionnaire, la tempête Fabien propulsée par un Jet en ligne direct sur notre pays à 300/350 km/h traverse le pays du Golf de Gascogne vers la Corse. Nombreux orages à l'avant et dans le sillage de Fabien. Certaines valeurs de vent sont dues à des rafales descendantes convectives et le lendemain 22 décembre, une puissante tornade a frappé Serres Sainte-Marie dans le Béarn (voir entrée séparée).",130 km/h (rafales) à Albepierre-Bredons (15) le 22/12/2019 141 km/h (rafales) à Bordeaux (33) le 21/12/2019 105 km/h (rafales) à Angoulême (16) le 21/12/2019 132 km/h (rafales) à Pointe du Raz (29) le 21/12/2019 140 km/h (rafales) à Caussols (06) le 22/12/2019 et 45 autres valeurs...,,
Tempête Elsa,Exceptionnel,19/12/2019,20/12/2019,Ponctuel,tempête/coup de vent,"Auvergne, Rhône-Alpes",,128 km/h (rafales) à Estables (48) le 20/12/2019 111 km/h (rafales) à Coltines (15) le 20/12/2019 111 km/h (rafales) à Aiguebelette-le-Lac (73) le 20/12/2019 175 km/h (rafales) à Pointe de la Masse (73) le 20/12/2019 128 km/h (rafales) à Prunet (07) le 20/12/2019 et 40 autres valeurs...,,
Tempête Amélie,Notable,03/11/2019,03/11/2019,Ponctuel,tempête/coup de vent orages tornade,"Aquitaine, Auvergne, Bretagne, Centre, Languedoc-Roussillon, Midi-Pyrénées, Pays de la Loire, Poitou-Charentes, Rhône-Alpes","Prévue depuis plusiuers jours, la tempête aborde notre pays par l'ouest atlantique et le SO aquitain dans la nuit du 2 au 3 novembre, occasionnant des vents tempétueux et d'importants abats d'eau : plusieurs records de vent en rafales sur le mois de novembre tombent à cette occasion. Dans le sillage de la tempête une tornade classée F1 frappe Légé (44)   sur un trajet de 6,5 kms minimum. Le plafond d'un centre culturel est notamment partiellement emporté (voir lien vidéo enquête Raphael Proust dans Sources, renvois). Autres possibles tornades à Sainte-Hélène (33), La Jarne (17) et Saint Thomas de Conac (17).",129 km/h (rafales) à Albepierre-Bredons (15) le 04/11/2019 101 km/h (rafales) à Mont-de-Marsan (40) le 03/11/2019 138 km/h (rafales) à Biscarrosse (40) le 03/11/2019 93 km/h (rafales) à Rion-des-Landes (40) le 03/11/2019 163 km/h (rafales) à Cap Ferret (33) le 03/11/2019 et 107 autres valeurs...,,
,Non défini,09/08/2019,10/08/2019,Ponctuel,tempête/coup de vent,"Bretagne, Nord-Pas-de-Calais, Basse-Normandie, Haute-Normandie, Picardie",,106 km/h (rafales) à Île-de-Batz (29) le 09/08/2019 91 km/h (rafales) à Rostrenen (22) le 09/08/2019 114 km/h (rafales) à Gatteville-le-Phare (50) le 10/08/2019 84 km/h (rafales) à Pleyber-Christ (29) le 09/08/2019 102 km/h (rafales) à Brest (29) le 09/08/2019 et 36 autres valeurs...,,
Tempête Wolfgang,Remarquable Pourquoi ?,29/07/2019,30/07/2019,Ponctuel,tempête/coup de vent,"Bretagne, Basse-Normandie",,95 km/h (rafales) à Belle-Île-en-Mer (56) le 29/07/2019 99 km/h (rafales) à Brest (29) le 29/07/2019 75 km/h (rafales) à Caen (14) le 29/07/2019 103 km/h (rafales) à Pointe du Raz (29) le 29/07/2019 97 km/h (rafales) à Île de Groix (56) le 29/07/2019 et 4 autres valeurs...,,
,Remarquable,14/06/2019,14/06/2019,Ponctuel,tempête/coup de vent chaleur / canicule,"Corse, PACA","Alors que la chaleur a dû mal à s'installer sur la France cette année, un nouveau coup de Sirocco concerne la Corse.",112 km/h (rafales) à Cap Corse (2B) le 14/06/2019 104 km/h (rafales) à Aiguines (83) le 14/06/2019 33.8°C (Tx) à Marignane (13) le 14/06/2019 121 km/h (rafales) à Bec de l'Aigle (13) le 14/06/2019 35.4°C (Tx) à Carros (06) le 14/06/2019 et 8 autres valeurs...,,
Tempête Miguel,Remarquable,07/06/2019,07/06/2019,Ponctuel,tempête/coup de vent dépression extra-tropicale,"Aquitaine, Bretagne, Centre, Limousin, Basse-Normandie, Pays de la Loire, Poitou-Charentes",Une tempête hors saison concerne la nord-ouest de la France. De nombreux records mensuels sont battus.,84 km/h (rafales) à Martigné-Briand (49) le 07/06/2019 91 km/h (rafales) à Saint-Émilion (33) le 07/06/2019 91 km/h (rafales) à Choue (41) le 07/06/2019 97 km/h (rafales) à Caen (14) le 07/06/2019 100 km/h (rafales) à Penmarch (29) le 07/06/2019 et 158 autres valeurs...,,
,Remarquable,04/06/2019,05/06/2019,Ponctuel,tempête/coup de vent orages,"Champagne-Ardenne, Lorraine",Des orages très venteux concernent la Champagne et la Lorraine.,121 km/h (rafales) à Fontaine-lès-Vervins (02) le 05/06/2019 101 km/h (rafales) à Châlons-en-Champagne (51) le 05/06/2019 132 km/h (rafales) à Rocroi (08) le 04/06/2019 138 km/h (rafales) à Septsarges (55) le 04/06/2019 122 km/h (rafales) à La Selve (02) le 05/06/2019 et 3 autres valeurs...,,
,Remarquable,12/05/2019,12/05/2019,Ponctuel,tempête/coup de vent,"Languedoc-Roussillon, PACA",Un deuxième épisode de fort mistral concerne la basse vallée du Rhône. Les records mensuels sont de nouveau battus à Avignon et Arles !,106 km/h (rafales) à Tarascon (13) le 12/05/2019 131 km/h (rafales) à Bec de l'Aigle (13) le 12/05/2019 115 km/h (rafales) à Istres (13) le 12/05/2019 104 km/h (rafales) à Salon-de-Provence (13) le 12/05/2019 112 km/h (rafales) à Cap Couronne (France) le 12/05/2019 et 6 autres valeurs...,,
Tempête Yukon,Remarquable,08/05/2019,08/05/2019,Ponctuel,tempête/coup de vent,"Île-de-France, Pays de la Loire, Poitou-Charentes",Une tempête hors saison concerne la façade Atlantique. Plusieurs records mensuels sont battus.,90 km/h (rafales) à Le Château-d'Oléron (17) le 08/05/2019 113 km/h (rafales) à Île d'Yeu (85) le 08/05/2019 98 km/h (rafales) à La Rochelle (17) le 08/05/2019 139 km/h (rafales) à Belle-Île (44) le 08/05/2019 90 km/h (rafales) à Saint-Agnant (17) le 08/05/2019 et 18 autres valeurs...,,
,Remarquable,05/05/2019,05/05/2019,Ponctuel,tempête/coup de vent,"Languedoc-Roussillon, PACA",Fort épisode de mistral hors saison ! Plusieurs records mensuels battus ! Un nouvel épisode concerne les même région une semaine plus tard. Les records mensuels d'Arles et Avignon sont de nouveau battus !,88 km/h (rafales) à Entrecasteaux (83) le 05/05/2019 104 km/h (rafales) à Puyloubier (13) le 05/05/2019 99 km/h (rafales) à Tarascon (13) le 05/05/2019 137 km/h (rafales) à La Faurie (05) le 05/05/2019 109 km/h (rafales) à Cuers (83) le 05/05/2019 et 69 autres valeurs...,,SOURCE - https://www.infoclimat.fr/historic/#|1|%3E||0|6|0|dh_deb=&dh_end=&mois=&year=2018 
,Remarquable,10/03/2019,10/03/2019,Ponctuel,tempête/coup de vent,"Alsace, Champagne-Ardenne, Franche-Comté, Lorraine, Nord-Pas-de-Calais, Basse-Normandie, Haute-Normandie, Picardie",,112 km/h (rafales) à Ouessant (29) le 10/03/2019 102 km/h (rafales) à Orly (94) le 10/03/2019 117 km/h (rafales) à Lille (59) le 10/03/2019 112 km/h (rafales) à Le Havre (76) le 10/03/2019 115 km/h (rafales) à Méaulte (80) le 10/03/2019 et 30 autres valeurs...,,
Dépression tempétueuse Laura,Notable,06/03/2019,06/03/2019,Ponctuel,tempête/coup de vent orages,Toute la France,,130 km/h (rafales) à Port d'Aula (09) le 06/03/2019 148 km/h (rafales) à Boutx (31) le 06/03/2019 114 km/h (rafales) à Job (63) le 06/03/2019 112 km/h (rafales) à Le Moucherotte (38) le 06/03/2019 123 km/h (rafales) à Mont-Saint-Vincent (71) le 07/03/2019 et 110 autres valeurs...,,
Tempête Freya,Notable,03/03/2019,04/03/2019,Ponctuel,tempête/coup de vent,"Alsace, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Île-de-France, Lorraine, Pays de la Loire, Poitou-Charentes",Une dépression secondaire se déplace au sud du Morbihan jusqu'au grand est. Des vents de 151 km//h balaient belle île puis à 100 km/h dans les terres de la moitié nord. 44 départements sont placés en vigilance orange par météo France,95 km/h (rafales) à Saint-André-en-Terre-Plaine (89) le 04/03/2019 101 km/h (rafales) à Essey-lès-Nancy (54) le 04/03/2019 101 km/h (rafales) à Montroy (17) le 04/03/2019 101 km/h (rafales) à Poitiers (86) le 04/03/2019 104 km/h (rafales) à Plateau de Bure (05) le 04/03/2019 et 115 autres valeurs...,,
Tempête Gabriel,Notable,29/01/2019,30/01/2019,Ponctuel,épisode neigeux tempête/coup de vent,"Aquitaine, Auvergne, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Île-de-France, Lorraine, Nord-Pas-de-Calais, Basse-Normandie, Haute-Normandie, Pays de la Loire, Picardie, Poitou-Charentes",Le passage de la tempête Gabriel provoque un retour d'occlusion neigeux sur le nord de la France et de violentes rafales sur la façade atlantique.,96 km/h (rafales) à Loudun (86) le 29/01/2019 102 km/h (rafales) à Saint-Agnant (17) le 29/01/2019 93 km/h (rafales) à Saint-Martin-de-Fressengeas (24) le 29/01/2019 91 km/h (rafales) à Martigné-Briand (49) le 29/01/2019 117 km/h (rafales) à Montroy (17) le 29/01/2019 et 81 autres valeurs...,,
Episode de mistral,Notable,05/01/2019,05/01/2019,Ponctuel,tempête/coup de vent,PACA,"De nouveau, un fort coup de mistral concerne la vallée du Rhône",117 km/h (rafales) à Avignon (84) le 05/01/2019 133 km/h (rafales) à Chusclan (30) le 05/01/2019,,
Episode de mistral,Remarquable,02/01/2019,02/01/2019,Ponctuel,tempête/coup de vent,PACA,Un épisode de fort mistral concerne la vallée du Rhône.,100 km/h (rafales) à Tarascon (13) le 02/01/2019 109 km/h (rafales) à Orange (84) le 02/01/2019 106 km/h (rafales) à Arles (13) le 02/01/2019 121 km/h (rafales) à Istres (13) le 02/01/2019 162 km/h (rafales) à Pic de Bure (05) le 02/01/2019 et 6 autres valeurs...,,
