Round Number,Date,Location,Home Team,Away Team,Result
1,11/08/2023 21:00:00,Stade de Nice,OGC Nice,LOSC Lille,1 - 1
1,12/08/2023 17:00:00,Stade Vélodrome,Olympique de Marseille,Stade de Reims,2 - 1
1,12/08/2023 21:00:00,Parc des Princes,Paris Saint-Germain,FC Lorient,0 - 0
1,13/08/2023 13:00:00,Stade Francis-Le Blé,Stade Brestois 29,RC Lens,3 - 2
1,13/08/2023 15:00:00,Stade Gabriel Montpied,Clermont Foot 63,AS Monaco,2 - 4
1,13/08/2023 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Havre AC,2 - 2
1,13/08/2023 15:00:00,Stade de la Beaujoire,FC Nantes,Toulouse FC,1 - 2
1,13/08/2023 17:05:00,Roazhon Park,Stade Rennais FC,FC Metz,5 - 1
1,13/08/2023 20:45:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique Lyonnais,2 - 1
2,18/08/2023 21:00:00,Stade Saint-Symphorien,FC Metz,Olympique de Marseille,2 - 2
2,19/08/2023 19:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Montpellier Hérault SC,1 - 4
2,19/08/2023 21:00:00,Stadium de Toulouse,Toulouse FC,Paris Saint-Germain,1 - 1
2,20/08/2023 13:00:00,Stade Pierre-Mauroy,LOSC Lille,FC Nantes,2 - 0
2,20/08/2023 15:00:00,Stade Océane,Havre AC,Stade Brestois 29,1 - 2
2,20/08/2023 15:00:00,Stade du Moustoir,FC Lorient,OGC Nice,1 - 1
2,20/08/2023 15:00:00,Stade Auguste Delaune,Stade de Reims,Clermont Foot 63,2 - 0
2,20/08/2023 19:00:00,Stade Louis II,AS Monaco,RC Strasbourg Alsace,3 - 0
2,20/08/2023 20:45:00,Stade Bollaert-Delelis,RC Lens,Stade Rennais FC,1 - 1
3,25/08/2023 21:00:00,Stade de la Beaujoire,FC Nantes,AS Monaco,3 - 3
3,26/08/2023 17:00:00,Stade Vélodrome,Olympique de Marseille,Stade Brestois 29,2 - 0
3,26/08/2023 21:00:00,Parc des Princes,Paris Saint-Germain,RC Lens,3 - 1
3,27/08/2023 13:00:00,Roazhon Park,Stade Rennais FC,Havre AC,2 - 2
3,27/08/2023 15:00:00,Stade Gabriel Montpied,Clermont Foot 63,FC Metz,0 - 1
3,27/08/2023 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Stade de Reims,1 - 3
3,27/08/2023 15:00:00,Stade de la Meinau,RC Strasbourg Alsace,Toulouse FC,2 - 0
3,27/08/2023 17:05:00,Stade du Moustoir,FC Lorient,LOSC Lille,4 - 1
3,27/08/2023 20:45:00,Stade de Nice,OGC Nice,Olympique Lyonnais,0 - 0
4,01/09/2023 21:00:00,Stade de la Beaujoire,FC Nantes,Olympique de Marseille,1 - 1
4,02/09/2023 17:00:00,Stade Francis-Le Blé,Stade Brestois 29,Stade Rennais FC,0 - 0
