Round Number,Date,Location,homeTeam,Away Team,Result
20,15/01/2020 19:00:00,Stade de la Licorne,Amiens SC,Stade de Reims,1 - 1
20,15/01/2020 21:00:00,Stade Louis II,AS Monaco,Paris Saint-Germain,1 - 4
21,24/01/2020 20:45:00,Allianz Riviera,OGC Nice,Stade Rennais FC,1 - 1
21,25/01/2020 17:30:00,Stade Vélodrome,Olympique de Marseille,Angers SCO,0 - 0
21,25/01/2020 20:00:00,Stade Francis-Le Blé,Stade Brestois 29,Amiens SC,2 - 1
21,25/01/2020 20:00:00,Stade Louis II,AS Monaco,RC Strasbourg Alsace,1 - 3
21,25/01/2020 20:00:00,Stade de la Mosson,Montpellier Hérault SC,Dijon FCO,2 - 1
21,25/01/2020 20:00:00,Stade Auguste Delaune,Stade de Reims,FC Metz,0 - 1
21,25/01/2020 20:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Nîmes Olympique,2 - 1
21,26/01/2020 15:00:00,Groupama Stadium,Olympique Lyonnais,Toulouse FC,3 - 0
21,26/01/2020 17:00:00,La Beaujoire-Louis,FC Nantes,Girondins de Bordeaux,0 - 1
21,26/01/2020 21:00:00,Stade Pierre-Mauroy,LOSC,Paris Saint-Germain,0 - 2
22,31/01/2020 20:45:00,Roazhon Park,Stade Rennais FC,FC Nantes,3 - 2
22,01/02/2020 17:30:00,Parc des Princes,Paris Saint-Germain,Montpellier Hérault SC,5 - 0
22,01/02/2020 20:00:00,Stade de la Licorne,Amiens SC,Toulouse FC,0 - 0
22,01/02/2020 20:00:00,Stade Raymond Kopa,Angers SCO,Stade de Reims,1 - 4
22,01/02/2020 20:00:00,Stade Gaston Gérard,Dijon FCO,Stade Brestois 29,3 - 0
22,01/02/2020 20:00:00,Stade des Costières,Nîmes Olympique,AS Monaco,3 - 1
22,01/02/2020 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,LOSC,1 - 2
22,02/02/2020 15:00:00,Allianz Riviera,OGC Nice,Olympique Lyonnais,2 - 1
22,02/02/2020 17:00:00,Stade Saint-Symphorien,FC Metz,AS Saint-Etienne,3 - 1
22,02/02/2020 21:00:00,Matmut Atlantique,Girondins de Bordeaux,Olympique de Marseille,0 - 0
23,04/02/2020 19:00:00,Stade Pierre-Mauroy,LOSC,Stade Rennais FC,1 - 0
23,04/02/2020 19:00:00,Stade Louis II,AS Monaco,Angers SCO,1 - 0
23,04/02/2020 21:05:00,La Beaujoire-Louis,FC Nantes,Paris Saint-Germain,1 - 2
23,05/02/2020 19:00:00,Stade Francis-Le Blé,Stade Brestois 29,Girondins de Bordeaux,1 - 1
23,05/02/2020 19:00:00,Groupama Stadium,Olympique Lyonnais,Amiens SC,0 - 0
23,05/02/2020 19:00:00,Stade de la Mosson,Montpellier Hérault SC,FC Metz,1 - 1
23,05/02/2020 19:00:00,Stade des Costières,Nîmes Olympique,Dijon FCO,2 - 0
23,05/02/2020 19:00:00,Stade Auguste Delaune,Stade de Reims,OGC Nice,1 - 1
23,05/02/2020 19:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Olympique de Marseille,0 - 2
23,05/02/2020 19:00:00,Stadium de Toulouse,Toulouse FC,RC Strasbourg Alsace,0 - 1
24,07/02/2020 20:45:00,Stade Raymond Kopa,Angers SCO,LOSC,0 - 2
24,08/02/2020 17:30:00,Stade Vélodrome,Olympique de Marseille,Toulouse FC,1 - 0
24,08/02/2020 20:00:00,Stade de la Licorne,Amiens SC,AS Monaco,1 - 2
24,08/02/2020 20:00:00,Stade Gaston Gérard,Dijon FCO,FC Nantes,3 - 3
24,08/02/2020 20:00:00,Stade Saint-Symphorien,FC Metz,Girondins de Bordeaux,1 - 2
24,08/02/2020 20:00:00,Allianz Riviera,OGC Nice,Nîmes Olympique,1 - 3
24,08/02/2020 20:00:00,Roazhon Park,Stade Rennais FC,Stade Brestois 29,0 - 0
