Round Number,Date,Location,Home Team,Away Team,Result
4,29/08/2021 20:45,Stade Auguste Delaune,Stade de Reims,Paris Saint-Germain,0 - 2
5,10/09/2021 21:00,Stade du Moustoir,FC Lorient,LOSC Lille,2 - 1
5,11/09/2021 17:00,Parc des Princes,Paris Saint-Germain,Clermont Foot 63,4 - 0
5,11/09/2021 21:00,Stade Louis II,AS Monaco,Olympique de Marseille,0 - 2
5,12/09/2021 13:00,Stade de la Mosson,Montpellier Hérault SC,AS Saint-Étienne,2 - 0
5,12/09/2021 15:00,Matmut Atlantique,Girondins de Bordeaux,RC Lens,2 - 3
5,12/09/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,Angers SCO,1 - 1
5,12/09/2021 15:00,Stade Saint-Symphorien,FC Metz,ESTAC Troyes,0 - 2
5,12/09/2021 15:00,Roazhon Park,Stade Rennais FC,Stade de Reims,0 - 2
5,12/09/2021 17:00,Stade de la Beaujoire,FC Nantes,OGC Nice,0 - 2
5,12/09/2021 20:45,Groupama Stadium,Olympique Lyonnais,RC Strasbourg Alsace,3 - 1
6,17/09/2021 21:00,Stade de la Meinau,RC Strasbourg Alsace,FC Metz,3 - 0
6,18/09/2021 17:00,Stade Bollaert-Delelis,RC Lens,LOSC Lille,1 - 0
6,18/09/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Girondins de Bordeaux,1 - 2
6,19/09/2021 13:00,Allianz Riviera,OGC Nice,AS Monaco,2 - 2
6,19/09/2021 15:00,Stade Raymond Kopa,Angers SCO,FC Nantes,1 - 4
6,19/09/2021 15:00,Stade Gabriel Montpied,Clermont Foot 63,Stade Brestois 29,1 - 1
6,19/09/2021 15:00,Stade Auguste Delaune,Stade de Reims,FC Lorient,0 - 0
6,19/09/2021 15:00,Stade de l'Aube,ESTAC Troyes,Montpellier Hérault SC,1 - 1
6,19/09/2021 17:00,Orange Vélodrome,Olympique de Marseille,Stade Rennais FC,2 - 0
6,19/09/2021 20:45,Parc des Princes,Paris Saint-Germain,Olympique Lyonnais,2 - 1
7,22/09/2021 19:00,Stade Pierre-Mauroy,LOSC Lille,Stade de Reims,2 - 1
7,22/09/2021 19:00,Stade Louis II,AS Monaco,AS Saint-Étienne,3 - 1
7,22/09/2021 19:00,Stade de la Mosson,Montpellier Hérault SC,Girondins de Bordeaux,3 - 3
7,22/09/2021 19:00,Stade de la Beaujoire,FC Nantes,Stade Brestois 29,3 - 1
7,22/09/2021 19:00,Roazhon Park,Stade Rennais FC,Clermont Foot 63,6 - 0
7,22/09/2021 21:00,Stade Raymond Kopa,Angers SCO,Olympique de Marseille,0 - 0
7,22/09/2021 21:00,Stade Bollaert-Delelis,RC Lens,RC Strasbourg Alsace,0 - 1
7,22/09/2021 21:00,Stade du Moustoir,FC Lorient,OGC Nice,1 - 0
7,22/09/2021 21:00,Groupama Stadium,Olympique Lyonnais,ESTAC Troyes,3 - 1
7,22/09/2021 21:00,Stade Saint-Symphorien,FC Metz,Paris Saint-Germain,1 - 2
8,25/09/2021 17:00,Stade Geoffroy-Guichard,AS Saint-Étienne,OGC Nice,0 - 3
8,25/09/2021 19:00,Stade de la Meinau,RC Strasbourg Alsace,LOSC Lille,1 - 2
8,25/09/2021 21:00,Groupama Stadium,Olympique Lyonnais,FC Lorient,1 - 1
8,25/09/2021 21:00,Parc des Princes,Paris Saint-Germain,Montpellier Hérault SC,2 - 0
8,26/09/2021 13:00,Matmut Atlantique,Girondins de Bordeaux,Stade Rennais FC,1 - 1
8,26/09/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,FC Metz,1 - 2
8,26/09/2021 15:00,Stade Auguste Delaune,Stade de Reims,FC Nantes,3 - 1
8,26/09/2021 15:00,Stade de l'Aube,ESTAC Troyes,Angers SCO,1 - 1
8,26/09/2021 17:00,Stade Gabriel Montpied,Clermont Foot 63,AS Monaco,1 - 3
8,26/09/2021 20:45,Orange Vélodrome,Olympique de Marseille,RC Lens,2 - 3
9,01/10/2021 21:00,Stade Bollaert-Delelis,RC Lens,Stade de Reims,2 - 0
9,02/10/2021 17:00,Stade de la Mosson,Montpellier Hérault SC,RC Strasbourg Alsace,1 - 1
9,02/10/2021 21:00,Allianz Riviera,OGC Nice,Stade Brestois 29,2 - 1
9,03/10/2021 13:00,Roazhon Park,Stade Rennais FC,Paris Saint-Germain,2 - 0
9,03/10/2021 15:00,Stade Raymond Kopa,Angers SCO,FC Metz,3 - 2
9,03/10/2021 15:00,Stade du Moustoir,FC Lorient,Clermont Foot 63,1 - 1
9,03/10/2021 15:00,Stade Louis II,AS Monaco,Girondins de Bordeaux,3 - 0
9,03/10/2021 15:00,Stade de la Beaujoire,FC Nantes,ESTAC Troyes,2 - 0
9,03/10/2021 17:00,Stade Pierre-Mauroy,LOSC Lille,Olympique de Marseille,2 - 0
9,03/10/2021 20:45,Stade Geoffroy-Guichard,AS Saint-Étienne,Olympique Lyonnais,1 - 1
10,15/10/2021 21:00,Parc des Princes,Paris Saint-Germain,Angers SCO,2 - 1
10,16/10/2021 17:00,Stade Gabriel Montpied,Clermont Foot 63,LOSC Lille,1 - 0
10,16/10/2021 21:00,Groupama Stadium,Olympique Lyonnais,AS Monaco,2 - 0
10,17/10/2021 13:00,Stade de l'Aube,ESTAC Troyes,OGC Nice,1 - 0
10,17/10/2021 15:00,Matmut Atlantique,Girondins de Bordeaux,FC Nantes,1 - 1
10,17/10/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,Stade de Reims,1 - 1
10,17/10/2021 15:00,Stade Saint-Symphorien,FC Metz,Stade Rennais FC,0 - 3
10,17/10/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,AS Saint-Étienne,5 - 1
10,17/10/2021 17:00,Stade de la Mosson,Montpellier Hérault SC,RC Lens,1 - 0
10,17/10/2021 20:45,Orange Vélodrome,Olympique de Marseille,FC Lorient,4 - 1
11,22/10/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Angers SCO,2 - 2
11,23/10/2021 17:00,Stade de la Beaujoire,FC Nantes,Clermont Foot 63,2 - 1
11,23/10/2021 21:00,Stade Pierre-Mauroy,LOSC Lille,Stade Brestois 29,1 - 1
11,24/10/2021 13:00,Allianz Riviera,OGC Nice,Olympique Lyonnais,3 - 2
11,24/10/2021 15:00,Stade Bollaert-Delelis,RC Lens,FC Metz,4 - 1
11,24/10/2021 15:00,Stade du Moustoir,FC Lorient,Girondins de Bordeaux,1 - 1
11,24/10/2021 15:00,Stade Auguste Delaune,Stade de Reims,ESTAC Troyes,1 - 2
11,24/10/2021 15:00,Roazhon Park,Stade Rennais FC,RC Strasbourg Alsace,1 - 0
11,24/10/2021 17:00,Stade Louis II,AS Monaco,Montpellier Hérault SC,3 - 1
11,24/10/2021 21:00,Orange Vélodrome,Olympique de Marseille,Paris Saint-Germain,0 - 0
11,27/10/2021 20:45,Allianz Riviera,OGC Nice,Olympique de Marseille,1 - 1
12,29/10/2021 21:00,Parc des Princes,Paris Saint-Germain,LOSC Lille,2 - 1
12,30/10/2021 17:00,Stade Saint-Symphorien,FC Metz,AS Saint-Étienne,1 - 1
12,30/10/2021 21:00,Groupama Stadium,Olympique Lyonnais,RC Lens,2 - 1
12,31/10/2021 13:00,Stade Raymond Kopa,Angers SCO,OGC Nice,1 - 2
12,31/10/2021 15:00,Matmut Atlantique,Girondins de Bordeaux,Stade de Reims,3 - 2
12,31/10/2021 15:00,Stade de la Mosson,Montpellier Hérault SC,FC Nantes,2 - 0
12,31/10/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,FC Lorient,4 - 0
12,31/10/2021 15:00,Stade de l'Aube,ESTAC Troyes,Stade Rennais FC,2 - 2
12,31/10/2021 17:00,Stade Francis-Le Blé,Stade Brestois 29,AS Monaco,2 - 0
12,31/10/2021 20:45,Stade Gabriel Montpied,Clermont Foot 63,Olympique de Marseille,0 - 1
13,05/11/2021 21:00,Stade Bollaert-Delelis,RC Lens,ESTAC Troyes,4 - 0
13,06/11/2021 17:00,Stade Pierre-Mauroy,LOSC Lille,Angers SCO,1 - 1
13,06/11/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,Paris Saint-Germain,2 - 3
13,07/11/2021 13:00,Orange Vélodrome,Olympique de Marseille,FC Metz,0 - 0
13,07/11/2021 15:00,Stade du Moustoir,FC Lorient,Stade Brestois 29,1 - 2
13,07/11/2021 15:00,Stade de la Beaujoire,FC Nantes,RC Strasbourg Alsace,2 - 2
13,07/11/2021 15:00,Stade Auguste Delaune,Stade de Reims,AS Monaco,0 - 0
13,07/11/2021 15:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Clermont Foot 63,3 - 2
13,07/11/2021 17:00,Allianz Riviera,OGC Nice,Montpellier Hérault SC,0 - 1
13,07/11/2021 20:45,Roazhon Park,Stade Rennais FC,Olympique Lyonnais,4 - 1
14,19/11/2021 21:00,Stade Louis II,AS Monaco,LOSC Lille,2 - 2
14,20/11/2021 17:00,Parc des Princes,Paris Saint-Germain,FC Nantes,3 - 1
14,20/11/2021 21:00,Roazhon Park,Stade Rennais FC,Montpellier Hérault SC,2 - 0
14,21/11/2021 13:00,Stade Francis-Le Blé,Stade Brestois 29,RC Lens,4 - 0
14,21/11/2021 15:00,Stade Raymond Kopa,Angers SCO,FC Lorient,1 - 0
14,21/11/2021 15:00,Stade Saint-Symphorien,FC Metz,Girondins de Bordeaux,3 - 3
14,21/11/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,Stade de Reims,1 - 1
14,21/11/2021 15:00,Stade de l'Aube,ESTAC Troyes,AS Saint-Étienne,0 - 1
14,21/11/2021 17:00,Stade Gabriel Montpied,Clermont Foot 63,OGC Nice,1 - 2
15,26/11/2021 21:00,Stade Bollaert-Delelis,RC Lens,Angers SCO,2 - 2
15,27/11/2021 17:00,Stade Pierre-Mauroy,LOSC Lille,FC Nantes,1 - 1
15,27/11/2021 21:00,Allianz Riviera,OGC Nice,FC Metz,0 - 1
15,28/11/2021 13:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Paris Saint-Germain,1 - 3
15,28/11/2021 15:00,Matmut Atlantique,Girondins de Bordeaux,Stade Brestois 29,1 - 2
15,28/11/2021 15:00,Stade du Moustoir,FC Lorient,Stade Rennais FC,0 - 2
15,28/11/2021 15:00,Stade Louis II,AS Monaco,RC Strasbourg Alsace,1 - 1
15,28/11/2021 15:00,Stade Auguste Delaune,Stade de Reims,Clermont Foot 63,1 - 0
15,28/11/2021 17:00,Stade de la Mosson,Montpellier Hérault SC,Olympique Lyonnais,0 - 1
15,28/11/2021 20:45,Orange Vélodrome,Olympique de Marseille,ESTAC Troyes,1 - 0
16,01/12/2021 19:00,Stade Raymond Kopa,Angers SCO,AS Monaco,1 - 3
16,01/12/2021 19:00,Stade Francis-Le Blé,Stade Brestois 29,AS Saint-Étienne,1 - 0
16,01/12/2021 19:00,Stade Saint-Symphorien,FC Metz,Montpellier Hérault SC,1 - 3
16,01/12/2021 19:00,Stade de la Meinau,RC Strasbourg Alsace,Girondins de Bordeaux,5 - 2
16,01/12/2021 19:00,Stade de l'Aube,ESTAC Troyes,FC Lorient,2 - 0
16,01/12/2021 21:00,Stade Gabriel Montpied,Clermont Foot 63,RC Lens,2 - 2
16,01/12/2021 21:00,Groupama Stadium,Olympique Lyonnais,Stade de Reims,1 - 2
16,01/12/2021 21:00,Stade de la Beaujoire,FC Nantes,Olympique de Marseille,0 - 1
16,01/12/2021 21:00,Parc des Princes,Paris Saint-Germain,OGC Nice,0 - 0
16,01/12/2021 21:00,Roazhon Park,Stade Rennais FC,LOSC Lille,1 - 2
17,04/12/2021 17:00,Orange Vélodrome,Olympique de Marseille,Stade Brestois 29,1 - 2
17,04/12/2021 19:00,Stade Pierre-Mauroy,LOSC Lille,ESTAC Troyes,2 - 1
17,04/12/2021 21:00,Stade Bollaert-Delelis,RC Lens,Paris Saint-Germain,1 - 1
17,05/12/2021 13:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Stade Rennais FC,0 - 5
17,05/12/2021 15:00,Stade du Moustoir,FC Lorient,FC Nantes,0 - 1
17,05/12/2021 15:00,Stade Louis II,AS Monaco,FC Metz,4 - 0
17,05/12/2021 15:00,Stade de la Mosson,Montpellier Hérault SC,Clermont Foot 63,1 - 0
17,05/12/2021 15:00,Stade Auguste Delaune,Stade de Reims,Angers SCO,1 - 2
17,05/12/2021 17:00,Allianz Riviera,OGC Nice,RC Strasbourg Alsace,0 - 3
17,05/12/2021 20:45,Matmut Atlantique,Girondins de Bordeaux,Olympique Lyonnais,2 - 2
18,10/12/2021 21:00,Stade de la Beaujoire,FC Nantes,RC Lens,3 - 2
18,11/12/2021 17:00,Stade Francis-Le Blé,Stade Brestois 29,Montpellier Hérault SC,0 - 4
18,11/12/2021 21:00,Stade Auguste Delaune,Stade de Reims,AS Saint-Étienne,2 - 0
18,12/12/2021 13:00,Stade Pierre-Mauroy,LOSC Lille,Olympique Lyonnais,0 - 0
18,12/12/2021 15:00,Stade Raymond Kopa,Angers SCO,Clermont Foot 63,0 - 1
18,12/12/2021 15:00,Stade Saint-Symphorien,FC Metz,FC Lorient,4 - 1
18,12/12/2021 15:00,Roazhon Park,Stade Rennais FC,OGC Nice,1 - 2
18,12/12/2021 15:00,Stade de l'Aube,ESTAC Troyes,Girondins de Bordeaux,1 - 2
18,12/12/2021 17:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique de Marseille,0 - 2
18,12/12/2021 20:45,Parc des Princes,Paris Saint-Germain,AS Monaco,2 - 0
19,22/12/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,LOSC Lille,2 - 3
19,22/12/2021 21:00,Stade du Moustoir,FC Lorient,Paris Saint-Germain,1 - 1
19,22/12/2021 21:00,Groupama Stadium,Olympique Lyonnais,FC Metz,1 - 1
19,22/12/2021 21:00,Orange Vélodrome,Olympique de Marseille,Stade de Reims,1 - 1
19,22/12/2021 21:00,Stade Louis II,AS Monaco,Stade Rennais FC,2 - 1
19,22/12/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,Angers SCO,4 - 1
19,22/12/2021 21:00,Allianz Riviera,OGC Nice,RC Lens,2 - 1
19,22/12/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Étienne,FC Nantes,0 - 1
19,22/12/2021 21:00,Stade de l'Aube,ESTAC Troyes,Stade Brestois 29,1 - 1
20,07/01/2022 21:00,Matmut Atlantique,Girondins de Bordeaux,Olympique de Marseille,0 - 1
20,08/01/2022 21:00,Stade Bollaert-Delelis,RC Lens,Stade Rennais FC,1 - 0
20,09/01/2022 01:00,Groupama Stadium,Olympique Lyonnais,Paris Saint-Germain,1 - 1
20,09/01/2022 13:00,Stade Francis-Le Blé,Stade Brestois 29,OGC Nice,0 - 3
20,09/01/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,Stade de Reims,0 - 0
20,09/01/2022 15:00,Stade Saint-Symphorien,FC Metz,RC Strasbourg Alsace,0 - 2
20,09/01/2022 17:05,Stade de la Beaujoire,FC Nantes,AS Monaco,0 - 0
21,14/01/2022 21:00,Allianz Riviera,OGC Nice,FC Nantes,2 - 1
21,15/01/2022 17:00,Stade Geoffroy-Guichard,AS Saint-Étienne,RC Lens,1 - 2
21,15/01/2022 21:00,Parc des Princes,Paris Saint-Germain,Stade Brestois 29,2 - 0
21,16/01/2022 13:00,Roazhon Park,Stade Rennais FC,Girondins de Bordeaux,6 - 0
21,16/01/2022 15:00,Stade du Moustoir,FC Lorient,Angers SCO,0 - 0
21,16/01/2022 15:00,Stade Louis II,AS Monaco,Clermont Foot 63,4 - 0
21,16/01/2022 15:00,Stade Auguste Delaune,Stade de Reims,FC Metz,0 - 1
21,16/01/2022 15:00,Stade de la Meinau,RC Strasbourg Alsace,Montpellier Hérault SC,3 - 1
21,16/01/2022 17:05,Stade de l'Aube,ESTAC Troyes,Olympique Lyonnais,0 - 1
21,16/01/2022 20:45,Orange Vélodrome,Olympique de Marseille,LOSC Lille,1 - 1
21,19/01/2022 19:00,Stade Gabriel Montpied,Clermont Foot 63,RC Strasbourg Alsace,0 - 2
21,19/01/2022 19:00,Stade Pierre-Mauroy,LOSC Lille,FC Lorient,3 - 1
21,19/01/2022 19:00,Stade de la Mosson,Montpellier Hérault SC,ESTAC Troyes,0 - 1
22,21/01/2022 21:00,Groupama Stadium,Olympique Lyonnais,AS Saint-Étienne,1 - 0
22,22/01/2022 17:00,Stade Francis-Le Blé,Stade Brestois 29,LOSC Lille,2 - 0
22,22/01/2022 21:00,Stade Bollaert-Delelis,RC Lens,Olympique de Marseille,0 - 2
22,23/01/2022 13:00,Stade Saint-Symphorien,FC Metz,OGC Nice,0 - 2
22,23/01/2022 15:00,Stade Raymond Kopa,Angers SCO,ESTAC Troyes,2 - 1
22,23/01/2022 15:00,Matmut Atlantique,Girondins de Bordeaux,RC Strasbourg Alsace,4 - 3
22,23/01/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,Stade Rennais FC,2 - 1
22,23/01/2022 15:00,Stade de la Beaujoire,FC Nantes,FC Lorient,4 - 2
22,23/01/2022 17:05,Stade de la Mosson,Montpellier Hérault SC,AS Monaco,3 - 2
22,23/01/2022 20:45,Parc des Princes,Paris Saint-Germain,Stade de Reims,4 - 0
22,26/01/2022 19:00,Stade Raymond Kopa,Angers SCO,AS Saint-Étienne,0 - 1
22,01/02/2022 21:00,Groupama Stadium,Olympique Lyonnais,Olympique de Marseille,2 - 1
23,04/02/2022 21:00,Orange Vélodrome,Olympique de Marseille,Angers SCO,5 - 2
23,05/02/2022 17:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Montpellier Hérault SC,3 - 1
23,05/02/2022 21:00,Stade Louis II,AS Monaco,Olympique Lyonnais,2 - 0
23,06/02/2022 13:00,Stade du Moustoir,FC Lorient,RC Lens,2 - 0
23,06/02/2022 15:00,Allianz Riviera,OGC Nice,Clermont Foot 63,0 - 1
23,06/02/2022 15:00,Stade Auguste Delaune,Stade de Reims,Girondins de Bordeaux,5 - 0
23,06/02/2022 15:00,Stade de la Meinau,RC Strasbourg Alsace,FC Nantes,1 - 0
23,06/02/2022 15:00,Stade de l'Aube,ESTAC Troyes,FC Metz,0 - 0
23,06/02/2022 17:00,Roazhon Park,Stade Rennais FC,Stade Brestois 29,2 - 0
23,06/02/2022 20:45,Stade Pierre-Mauroy,LOSC Lille,Paris Saint-Germain,1 - 5
24,11/02/2022 21:00,Parc des Princes,Paris Saint-Germain,Stade Rennais FC,1 - 0
24,12/02/2022 17:00,Stade de la Mosson,Montpellier Hérault SC,LOSC Lille,0 - 1
24,12/02/2022 21:00,Groupama Stadium,Olympique Lyonnais,OGC Nice,2 - 0
24,13/02/2022 13:00,Stade Louis II,AS Monaco,FC Lorient,0 - 0
24,13/02/2022 15:00,Stade Raymond Kopa,Angers SCO,RC Strasbourg Alsace,0 - 1
24,13/02/2022 15:00,Stade Francis-Le Blé,Stade Brestois 29,ESTAC Troyes,5 - 1
24,13/02/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,AS Saint-Étienne,1 - 2
24,13/02/2022 15:00,Stade de la Beaujoire,FC Nantes,Stade de Reims,1 - 0
24,13/02/2022 17:05,Stade Bollaert-Delelis,RC Lens,Girondins de Bordeaux,3 - 2
24,13/02/2022 20:45,Stade Saint-Symphorien,FC Metz,Olympique de Marseille,1 - 2
25,18/02/2022 12:00,Stade Pierre-Mauroy,LOSC Lille,FC Metz,0 - 0
25,19/02/2022 17:00,Stade Bollaert-Delelis,RC Lens,Olympique Lyonnais,1 - 1
25,19/02/2022 21:00,Stade de la Beaujoire,FC Nantes,Paris Saint-Germain,3 - 1
25,20/02/2022 13:00,Allianz Riviera,OGC Nice,Angers SCO,1 - 0
25,20/02/2022 15:00,Stade du Moustoir,FC Lorient,Montpellier Hérault SC,0 - 1
25,20/02/2022 15:00,Stade Auguste Delaune,Stade de Reims,Stade Brestois 29,1 - 1
25,20/02/2022 15:00,Roazhon Park,Stade Rennais FC,ESTAC Troyes,4 - 1
25,20/02/2022 15:00,Stade Geoffroy-Guichard,AS Saint-Étienne,RC Strasbourg Alsace,2 - 2
25,20/02/2022 17:05,Matmut Atlantique,Girondins de Bordeaux,AS Monaco,1 - 1
25,20/02/2022 20:45,Orange Vélodrome,Olympique de Marseille,Clermont Foot 63,0 - 2
26,25/02/2022 21:00,Stade de la Mosson,Montpellier Hérault SC,Stade Rennais FC,2 - 4
26,26/02/2022 17:00,Stade de la Meinau,RC Strasbourg Alsace,OGC Nice,0 - 0
26,26/02/2022 21:00,Parc des Princes,Paris Saint-Germain,AS Saint-Étienne,3 - 1
26,27/02/2022 13:00,Stade Louis II,AS Monaco,Stade de Reims,1 - 2
26,27/02/2022 15:00,Stade Raymond Kopa,Angers SCO,RC Lens,1 - 2
26,27/02/2022 15:00,Stade Francis-Le Blé,Stade Brestois 29,FC Lorient,0 - 1
26,27/02/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,Girondins de Bordeaux,1 - 1
26,27/02/2022 15:00,Stade Saint-Symphorien,FC Metz,FC Nantes,0 - 0
26,27/02/2022 17:05,Stade de l'Aube,ESTAC Troyes,Olympique de Marseille,1 - 1
26,27/02/2022 20:45,Groupama Stadium,Olympique Lyonnais,LOSC Lille,0 - 1
27,04/03/2022 21:00,Stade du Moustoir,FC Lorient,Olympique Lyonnais,1 - 4
27,05/03/2022 15:00,Stade Bollaert-Delelis,RC Lens,Stade Brestois 29,0 - 1
27,05/03/2022 21:00,Allianz Riviera,OGC Nice,Paris Saint-Germain,1 - 0
27,06/03/2022 13:00,Stade Geoffroy-Guichard,AS Saint-Étienne,FC Metz,1 - 0
27,06/03/2022 15:00,Matmut Atlantique,Girondins de Bordeaux,ESTAC Troyes,0 - 2
27,06/03/2022 15:00,Stade de la Beaujoire,FC Nantes,Montpellier Hérault SC,2 - 0
27,06/03/2022 15:00,Stade Auguste Delaune,Stade de Reims,RC Strasbourg Alsace,1 - 1
27,06/03/2022 15:00,Roazhon Park,Stade Rennais FC,Angers SCO,2 - 0
27,06/03/2022 17:05,Stade Pierre-Mauroy,LOSC Lille,Clermont Foot 63,4 - 0
27,06/03/2022 20:45,Orange Vélodrome,Olympique de Marseille,AS Monaco,0 - 1
28,11/03/2022 21:00,Stade Pierre-Mauroy,LOSC Lille,AS Saint-Étienne,0 - 0
28,12/03/2022 17:00,Stade de la Mosson,Montpellier Hérault SC,OGC Nice,0 - 0
28,12/03/2022 21:00,Stade de l'Aube,ESTAC Troyes,FC Nantes,1 - 0
28,13/03/2022 13:00,Parc des Princes,Paris Saint-Germain,Girondins de Bordeaux,3 - 0
28,13/03/2022 15:00,Stade Raymond Kopa,Angers SCO,Stade de Reims,0 - 1
28,13/03/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,FC Lorient,0 - 2
28,13/03/2022 15:00,Stade Saint-Symphorien,FC Metz,RC Lens,0 - 0
28,13/03/2022 15:00,Stade de la Meinau,RC Strasbourg Alsace,AS Monaco,1 - 0
28,13/03/2022 17:05,Groupama Stadium,Olympique Lyonnais,Stade Rennais FC,2 - 4
28,13/03/2022 20:45,Stade Francis-Le Blé,Stade Brestois 29,Olympique de Marseille,1 - 4
29,18/03/2022 21:00,Stade Geoffroy-Guichard,AS Saint-Étienne,ESTAC Troyes,1 - 1
29,19/03/2022 17:00,Stade Bollaert-Delelis,RC Lens,Clermont Foot 63,3 - 1
29,19/03/2022 21:00,Stade de la Beaujoire,FC Nantes,LOSC Lille,0 - 1
29,20/03/2022 13:00,Stade Louis II,AS Monaco,Paris Saint-Germain,3 - 0
29,20/03/2022 15:00,Stade Raymond Kopa,Angers SCO,Stade Brestois 29,1 - 0
29,20/03/2022 15:00,Matmut Atlantique,Girondins de Bordeaux,Montpellier Hérault SC,0 - 2
29,20/03/2022 15:00,Stade du Moustoir,FC Lorient,RC Strasbourg Alsace,0 - 0
29,20/03/2022 15:00,Roazhon Park,Stade Rennais FC,FC Metz,6 - 1
