Round Number,Date,Location,Home Team,Away Team,Result
1,15/08/2025 18:45:00,Roazhon Park,Stade Rennais FC,Olympique de Marseille,1 - 0
1,16/08/2025 15:00:00,Stade Bollaert-Delelis,RC Lens,Olympique Lyonnais,0 - 1
1,16/08/2025 17:00:00,Stade Louis II,AS Monaco,Havre Athletic Club,3 - 1
1,16/08/2025 19:05:00,Allianz Riviera,OGC Nice,Toulouse FC,0 - 1
1,17/08/2025 13:00:00,Stade Francis-Le Blé,Stade Brestois 29,LOSC Lille,3 - 3
1,17/08/2025 15:15:00,Stade Raymond Kopa,Angers SCO,Paris FC,1 - 0
1,17/08/2025 15:15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,FC Lorient,1 - 0
1,17/08/2025 15:15:00,Stade Saint-Symphorien,FC Metz,RC Strasbourg Alsace,0 - 1
1,17/08/2025 20:45:00,Stade de la Beaujoire,FC Nantes,Paris Saint-Germain,0 - 1
2,22/08/2025 18:45:00,Parc des Princes,Paris Saint-Germain,Angers SCO,1 - 0
2,23/08/2025 15:00:00,Stade Vélodrome,Olympique de Marseille,Paris FC,5 - 2
2,23/08/2025 17:00:00,Allianz Riviera,OGC Nice,AJ Auxerre,3 - 1
2,23/08/2025 19:05:00,Parc Olympique Lyonnais,Olympique Lyonnais,FC Metz,3 - 0
2,24/08/2025 13:00:00,Stade du Moustoir,FC Lorient,Stade Rennais FC,4 - 0
2,24/08/2025 15:15:00,Stade Océane,Havre Athletic Club,RC Lens,1 - 2
2,24/08/2025 15:15:00,Stade de la Meinau,RC Strasbourg Alsace,FC Nantes,1 - 0
2,24/08/2025 15:15:00,Stadium de Toulouse,Toulouse FC,Stade Brestois 29,2 - 0
2,24/08/2025 18:45:00,Stade Pierre-Mauroy,LOSC Lille,AS Monaco,1 - 0
3,29/08/2025 18:45:00,Stade Bollaert-Delelis,RC Lens,Stade Brestois 29,3 - 1
3,30/08/2025 15:00:00,Stade du Moustoir,FC Lorient,LOSC Lille,1 - 7
3,30/08/2025 17:00:00,Stade de la Beaujoire,FC Nantes,AJ Auxerre,1 - 0
3,30/08/2025 19:05:00,Stadium de Toulouse,Toulouse FC,Paris Saint-Germain,3 - 6
3,31/08/2025 13:00:00,Stade Raymond Kopa,Angers SCO,Stade Rennais FC,1 - 1
3,31/08/2025 15:15:00,Stade Océane,Havre Athletic Club,OGC Nice,3 - 1
3,31/08/2025 15:15:00,Stade Louis II,AS Monaco,RC Strasbourg Alsace,3 - 2
3,31/08/2025 15:15:00,Stade Charléty,Paris FC,FC Metz,3 - 2
3,31/08/2025 18:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,Olympique de Marseille,1 - 0
4,12/09/2025 18:45:00,Stade Vélodrome,Olympique de Marseille,FC Lorient,4 - 0
4,13/09/2025 15:00:00,Allianz Riviera,OGC Nice,FC Nantes,1 - 0
4,13/09/2025 19:05:00,Stade de l'Abbé-Deschamps,AJ Auxerre,AS Monaco,1 - 2
4,14/09/2025 13:00:00,Stade Pierre-Mauroy,LOSC Lille,Toulouse FC,2 - 1
4,14/09/2025 15:15:00,Stade Francis-Le Blé,Stade Brestois 29,Paris FC,1 - 2
4,14/09/2025 15:15:00,Stade Saint-Symphorien,FC Metz,Angers SCO,1 - 1
4,14/09/2025 15:15:00,Parc des Princes,Paris Saint-Germain,RC Lens,2 - 0
4,14/09/2025 15:15:00,Stade de la Meinau,RC Strasbourg Alsace,Havre Athletic Club,1 - 0
4,14/09/2025 18:45:00,Roazhon Park,Stade Rennais FC,Olympique Lyonnais,3 - 1
5,19/09/2025 18:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,Angers SCO,1 - 0
5,20/09/2025 15:00:00,Stade de la Beaujoire,FC Nantes,Stade Rennais FC,2 - 2
5,20/09/2025 17:00:00,Stade Francis-Le Blé,Stade Brestois 29,OGC Nice,4 - 1
5,20/09/2025 19:05:00,Stade Bollaert-Delelis,RC Lens,LOSC Lille,3 - 0
5,21/09/2025 13:00:00,Stade Charléty,Paris FC,RC Strasbourg Alsace,2 - 3
5,21/09/2025 15:15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Toulouse FC,1 - 0
5,21/09/2025 15:15:00,Stade Océane,Havre Athletic Club,FC Lorient,1 - 1
5,21/09/2025 15:15:00,Stade Louis II,AS Monaco,FC Metz,5 - 2
5,22/09/2025 18:00:00,Stade Vélodrome,Olympique de Marseille,Paris Saint-Germain,1 - 0
6,26/09/2025 18:45:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique de Marseille,1 - 2
6,27/09/2025 15:00:00,Stade du Moustoir,FC Lorient,AS Monaco,3 - 1
6,27/09/2025 17:00:00,Stadium de Toulouse,Toulouse FC,FC Nantes,2 - 2
6,27/09/2025 19:05:00,Parc des Princes,Paris Saint-Germain,AJ Auxerre,2 - 0
6,28/09/2025 13:00:00,Allianz Riviera,OGC Nice,Paris FC,1 - 1
6,28/09/2025 15:15:00,Stade Raymond Kopa,Angers SCO,Stade Brestois 29,0 - 2
6,28/09/2025 15:15:00,Stade Pierre-Mauroy,LOSC Lille,Olympique Lyonnais,0 - 1
6,28/09/2025 15:15:00,Stade Saint-Symphorien,FC Metz,Havre Athletic Club,0 - 0
6,28/09/2025 18:45:00,Roazhon Park,Stade Rennais FC,RC Lens,0 - 0
7,03/10/2025 18:45:00,Stade Charléty,Paris FC,FC Lorient,2 - 0
7,04/10/2025 15:00:00,Stade Saint-Symphorien,FC Metz,Olympique de Marseille,0 - 3
7,04/10/2025 17:00:00,Stade Francis-Le Blé,Stade Brestois 29,FC Nantes,0 - 0
7,04/10/2025 19:05:00,Stade de l'Abbé-Deschamps,AJ Auxerre,RC Lens,1 - 2
7,05/10/2025 13:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Toulouse FC,1 - 2
7,05/10/2025 15:15:00,Stade Océane,Havre Athletic Club,Stade Rennais FC,2 - 2
