Round Number,Date,Location,Home Team,Away Team,Result
7,05/10/2025 15:15:00,Stade Louis II,AS Monaco,OGC Nice,2 - 2
7,05/10/2025 15:15:00,Stade de la Meinau,RC Strasbourg Alsace,Angers SCO,5 - 0
7,05/10/2025 18:45:00,Stade Pierre-Mauroy,LOSC Lille,Paris Saint-Germain,1 - 1
8,17/10/2025 18:45:00,Parc des Princes,Paris Saint-Germain,RC Strasbourg Alsace,3 - 3
8,18/10/2025 15:00:00,Allianz Riviera,OGC Nice,Olympique Lyonnais,3 - 2
8,18/10/2025 17:00:00,Stade Raymond Kopa,Angers SCO,AS Monaco,1 - 1
8,18/10/2025 19:05:00,Stade Vélodrome,Olympique de Marseille,Havre Athletic Club,6 - 2
8,19/10/2025 13:00:00,Stade Bollaert-Delelis,RC Lens,Paris FC,2 - 1
8,19/10/2025 15:15:00,Stade du Moustoir,FC Lorient,Stade Brestois 29,3 - 3
8,19/10/2025 15:15:00,Roazhon Park,Stade Rennais FC,AJ Auxerre,2 - 2
8,19/10/2025 15:15:00,Stadium de Toulouse,Toulouse FC,FC Metz,4 - 0
8,19/10/2025 18:45:00,Stade de la Beaujoire,FC Nantes,LOSC Lille,0 - 2
9,24/10/2025 18:45:00,Stade Charléty,Paris FC,FC Nantes,1 - 2
9,25/10/2025 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,Paris Saint-Germain,0 - 3
9,25/10/2025 17:00:00,Stade Louis II,AS Monaco,Toulouse FC,1 - 0
9,25/10/2025 19:05:00,Stade Bollaert-Delelis,RC Lens,Olympique de Marseille,2 - 1
9,26/10/2025 14:00:00,Stade Pierre-Mauroy,LOSC Lille,FC Metz,6 - 1
9,26/10/2025 16:15:00,Stade Raymond Kopa,Angers SCO,FC Lorient,2 - 0
9,26/10/2025 16:15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Havre Athletic Club,0 - 1
9,26/10/2025 16:15:00,Roazhon Park,Stade Rennais FC,OGC Nice,1 - 2
9,26/10/2025 19:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,RC Strasbourg Alsace,2 - 1
10,29/10/2025 18:00:00,Stade Océane,Havre Athletic Club,Stade Brestois 29,1 - 0
10,29/10/2025 18:00:00,Stade du Moustoir,FC Lorient,Paris Saint-Germain,1 - 1
10,29/10/2025 18:00:00,Stade Saint-Symphorien,FC Metz,RC Lens,2 - 0
10,29/10/2025 18:00:00,Allianz Riviera,OGC Nice,LOSC Lille,2 - 0
10,29/10/2025 20:05:00,Stade Vélodrome,Olympique de Marseille,Angers SCO,2 - 2
10,29/10/2025 20:05:00,Stade de la Beaujoire,FC Nantes,AS Monaco,3 - 5
10,29/10/2025 20:05:00,Stade Charléty,Paris FC,Olympique Lyonnais,3 - 3
10,29/10/2025 20:05:00,Stade de la Meinau,RC Strasbourg Alsace,AJ Auxerre,3 - 0
10,29/10/2025 20:05:00,Stadium de Toulouse,Toulouse FC,Stade Rennais FC,2 - 2
11,01/11/2025 16:00:00,Parc des Princes,Paris Saint-Germain,OGC Nice,1 - 0
11,01/11/2025 18:00:00,Stade Louis II,AS Monaco,Paris FC,0 - 1
11,01/11/2025 20:05:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Olympique de Marseille,0 - 1
11,02/11/2025 14:00:00,Roazhon Park,Stade Rennais FC,RC Strasbourg Alsace,4 - 1
11,02/11/2025 16:15:00,Stade Bollaert-Delelis,RC Lens,FC Lorient,3 - 0
11,02/11/2025 16:15:00,Stade Pierre-Mauroy,LOSC Lille,Angers SCO,1 - 0
11,02/11/2025 16:15:00,Stade de la Beaujoire,FC Nantes,FC Metz,0 - 2
11,02/11/2025 16:15:00,Stadium de Toulouse,Toulouse FC,Havre Athletic Club,0 - 0
11,02/11/2025 19:45:00,Stade Francis-Le Blé,Stade Brestois 29,Olympique Lyonnais,0 - 0
12,07/11/2025 19:45:00,Stade Charléty,Paris FC,Stade Rennais FC,0 - 1
12,08/11/2025 16:00:00,Stade Vélodrome,Olympique de Marseille,Stade Brestois 29,3 - 0
12,08/11/2025 18:00:00,Stade Océane,Havre Athletic Club,FC Nantes,1 - 1
12,08/11/2025 20:05:00,Stade Louis II,AS Monaco,RC Lens,1 - 4
12,09/11/2025 14:00:00,Stade du Moustoir,FC Lorient,Toulouse FC,1 - 1
12,09/11/2025 16:15:00,Stade Raymond Kopa,Angers SCO,AJ Auxerre,2 - 0
12,09/11/2025 16:15:00,Stade Saint-Symphorien,FC Metz,OGC Nice,2 - 1
12,09/11/2025 16:15:00,Stade de la Meinau,RC Strasbourg Alsace,LOSC Lille,2 - 0
12,09/11/2025 19:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,Paris Saint-Germain,2 - 3
13,21/11/2025 19:45:00,Allianz Riviera,OGC Nice,Olympique de Marseille,1 - 5
13,22/11/2025 16:00:00,Stade Bollaert-Delelis,RC Lens,RC Strasbourg Alsace,1 - 0
13,22/11/2025 18:00:00,Roazhon Park,Stade Rennais FC,AS Monaco,4 - 1
13,22/11/2025 20:05:00,Parc des Princes,Paris Saint-Germain,Havre Athletic Club,3 - 0
13,23/11/2025 14:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Olympique Lyonnais,0 - 0
13,23/11/2025 16:15:00,Stade Francis-Le Blé,Stade Brestois 29,FC Metz,3 - 2
13,23/11/2025 16:15:00,Stade de la Beaujoire,FC Nantes,FC Lorient,1 - 1
13,23/11/2025 16:15:00,Stadium de Toulouse,Toulouse FC,Angers SCO,0 - 1
13,23/11/2025 19:45:00,Stade Pierre-Mauroy,LOSC Lille,Paris FC,4 - 2
14,28/11/2025 19:45:00,Stade Saint-Symphorien,FC Metz,Stade Rennais FC,0 - 1
14,29/11/2025 16:00:00,Stade Louis II,AS Monaco,Paris Saint-Germain,1 - 0
14,29/11/2025 18:00:00,Stade Charléty,Paris FC,AJ Auxerre,1 - 1
14,29/11/2025 20:05:00,Stade Vélodrome,Olympique de Marseille,Toulouse FC,2 - 2
14,30/11/2025 14:00:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Brestois 29,1 - 2
14,30/11/2025 16:15:00,Stade Raymond Kopa,Angers SCO,RC Lens,1 - 2
14,30/11/2025 16:15:00,Stade Océane,Havre Athletic Club,LOSC Lille,0 - 1
14,30/11/2025 16:15:00,Stade du Moustoir,FC Lorient,OGC Nice,3 - 1
14,30/11/2025 19:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,FC Nantes,3 - 0
15,05/12/2025 18:00:00,Stade Francis-Le Blé,Stade Brestois 29,AS Monaco,1 - 0
15,05/12/2025 20:00:00,Stade Pierre-Mauroy,LOSC Lille,Olympique de Marseille,1 - 0
15,06/12/2025 16:00:00,Stade de la Beaujoire,FC Nantes,RC Lens,1 - 2
15,06/12/2025 18:00:00,Stadium de Toulouse,Toulouse FC,RC Strasbourg Alsace,1 - 0
15,06/12/2025 20:05:00,Parc des Princes,Paris Saint-Germain,Stade Rennais FC,5 - 0
15,07/12/2025 14:00:00,Allianz Riviera,OGC Nice,Angers SCO,0 - 1
15,07/12/2025 16:15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,FC Metz,3 - 1
15,07/12/2025 16:15:00,Stade Océane,Havre Athletic Club,Paris FC,0 - 0
15,07/12/2025 19:45:00,Stade du Moustoir,FC Lorient,Olympique Lyonnais,1 - 0
16,12/12/2025 19:45:00,Stade Raymond Kopa,Angers SCO,FC Nantes,4 - 1
16,13/12/2025 16:00:00,Roazhon Park,Stade Rennais FC,Stade Brestois 29,3 - 1
16,13/12/2025 18:00:00,Stade Saint-Symphorien,FC Metz,Paris Saint-Germain,2 - 3
16,13/12/2025 20:05:00,Stade Charléty,Paris FC,Toulouse FC,0 - 3
16,14/12/2025 14:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Havre Athletic Club,1 - 0
16,14/12/2025 16:15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,LOSC Lille,3 - 4
16,14/12/2025 16:15:00,Stade Bollaert-Delelis,RC Lens,OGC Nice,2 - 0
16,14/12/2025 16:15:00,Stade de la Meinau,RC Strasbourg Alsace,FC Lorient,0 - 0
16,14/12/2025 19:45:00,Stade Vélodrome,Olympique de Marseille,AS Monaco,1 - 0
17,02/01/2026 19:45:00,Stadium de Toulouse,Toulouse FC,RC Lens,0 - 3
17,03/01/2026 16:00:00,Stade Louis II,AS Monaco,Olympique Lyonnais,1 - 3
17,03/01/2026 18:00:00,Allianz Riviera,OGC Nice,RC Strasbourg Alsace,1 - 1
17,03/01/2026 20:05:00,Stade Pierre-Mauroy,LOSC Lille,Stade Rennais FC,0 - 2
17,04/01/2026 14:00:00,Stade Vélodrome,Olympique de Marseille,FC Nantes,0 - 2
17,04/01/2026 16:15:00,Stade Francis-Le Blé,Stade Brestois 29,AJ Auxerre,2 - 0
17,04/01/2026 16:15:00,Stade Océane,Havre Athletic Club,Angers SCO,2 - 1
17,04/01/2026 16:15:00,Stade du Moustoir,FC Lorient,FC Metz,1 - 1
17,04/01/2026 19:45:00,Parc des Princes,Paris Saint-Germain,Paris FC,2 - 1
18,16/01/2026 18:00:00,Stade Louis II,AS Monaco,FC Lorient,1 - 3
18,16/01/2026 20:00:00,Parc des Princes,Paris Saint-Germain,LOSC Lille,3 - 0
18,17/01/2026 16:00:00,Stade Bollaert-Delelis,RC Lens,AJ Auxerre,1 - 0
18,17/01/2026 18:00:00,Stadium de Toulouse,Toulouse FC,OGC Nice,5 - 1
18,17/01/2026 20:05:00,Stade Raymond Kopa,Angers SCO,Olympique de Marseille,2 - 5
18,18/01/2026 14:00:00,Stade de la Meinau,RC Strasbourg Alsace,FC Metz,2 - 1
18,18/01/2026 16:15:00,Stade de la Beaujoire,FC Nantes,Paris FC,1 - 2
18,18/01/2026 16:15:00,Roazhon Park,Stade Rennais FC,Havre Athletic Club,1 - 1
18,18/01/2026 19:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade Brestois 29,2 - 1
19,23/01/2026 19:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Paris Saint-Germain,0 - 1
19,24/01/2026 16:00:00,Roazhon Park,Stade Rennais FC,FC Lorient,0 - 2
19,24/01/2026 18:00:00,Stade Océane,Havre Athletic Club,AS Monaco,0 - 0
19,24/01/2026 20:05:00,Stade Vélodrome,Olympique de Marseille,RC Lens,3 - 1
19,25/01/2026 14:00:00,Stade de la Beaujoire,FC Nantes,OGC Nice,1 - 4
19,25/01/2026 16:15:00,Stade Francis-Le Blé,Stade Brestois 29,Toulouse FC,0 - 2
19,25/01/2026 16:15:00,Stade Saint-Symphorien,FC Metz,Olympique Lyonnais,2 - 5
19,25/01/2026 16:15:00,Stade Charléty,Paris FC,Angers SCO,0 - 0
19,25/01/2026 19:45:00,Stade Pierre-Mauroy,LOSC Lille,RC Strasbourg Alsace,1 - 4
20,30/01/2026 19:45:00,Stade Bollaert-Delelis,RC Lens,Havre Athletic Club,1 - 0
20,31/01/2026 16:00:00,Stade Charléty,Paris FC,Olympique de Marseille,2 - 2
20,31/01/2026 18:00:00,Stade du Moustoir,FC Lorient,FC Nantes,2 - 1
20,31/01/2026 20:05:00,Stade Louis II,AS Monaco,Stade Rennais FC,4 - 0
20,01/02/2026 14:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,LOSC Lille,1 - 0
20,01/02/2026 16:15:00,Stade Raymond Kopa,Angers SCO,FC Metz,1 - 0
20,01/02/2026 16:15:00,Allianz Riviera,OGC Nice,Stade Brestois 29,2 - 2
20,01/02/2026 16:15:00,Stadium de Toulouse,Toulouse FC,AJ Auxerre,0 - 0
20,01/02/2026 19:45:00,Stade de la Meinau,RC Strasbourg Alsace,Paris Saint-Germain,1 - 2
21,06/02/2026 19:45:00,Stade Saint-Symphorien,FC Metz,LOSC Lille,0 - 0
21,07/02/2026 16:00:00,Stade Bollaert-Delelis,RC Lens,Stade Rennais FC,3 - 1
21,07/02/2026 18:00:00,Stade Francis-Le Blé,Stade Brestois 29,FC Lorient,2 - 0
21,07/02/2026 20:05:00,Stade de la Beaujoire,FC Nantes,Olympique Lyonnais,0 - 1
21,08/02/2026 14:00:00,Allianz Riviera,OGC Nice,AS Monaco,0 - 0
21,08/02/2026 16:15:00,Stade Raymond Kopa,Angers SCO,Toulouse FC,1 - 0
21,08/02/2026 16:15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Paris FC,0 - 0
21,08/02/2026 16:15:00,Stade Océane,Havre Athletic Club,RC Strasbourg Alsace,2 - 1
21,08/02/2026 19:45:00,Parc des Princes,Paris Saint-Germain,Olympique de Marseille,5 - 0
22,13/02/2026 18:00:00,Roazhon Park,Stade Rennais FC,Paris Saint-Germain,3 - 1
22,13/02/2026 20:05:00,Stade Louis II,AS Monaco,FC Nantes,3 - 1
22,14/02/2026 16:00:00,Stade Vélodrome,Olympique de Marseille,RC Strasbourg Alsace,2 - 2
22,14/02/2026 18:00:00,Stade Pierre-Mauroy,LOSC Lille,Stade Brestois 29,1 - 1
22,14/02/2026 20:05:00,Stade Charléty,Paris FC,RC Lens,0 - 5
22,15/02/2026 14:00:00,Stade Océane,Havre Athletic Club,Toulouse FC,2 - 1
22,15/02/2026 16:15:00,Stade du Moustoir,FC Lorient,Angers SCO,2 - 0
22,15/02/2026 16:15:00,Stade Saint-Symphorien,FC Metz,AJ Auxerre,1 - 3
22,15/02/2026 19:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,OGC Nice,2 - 0
23,20/02/2026 19:45:00,Stade Francis-Le Blé,Stade Brestois 29,Olympique de Marseille,2 - 0
23,21/02/2026 16:00:00,Stade Bollaert-Delelis,RC Lens,AS Monaco,2 - 3
23,21/02/2026 18:00:00,Stadium de Toulouse,Toulouse FC,Paris FC,1 - 1
23,21/02/2026 20:05:00,Parc des Princes,Paris Saint-Germain,FC Metz,3 - 0
23,22/02/2026 14:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Stade Rennais FC,0 - 3
23,22/02/2026 16:15:00,Stade Raymond Kopa,Angers SCO,LOSC Lille,0 - 1
23,22/02/2026 16:15:00,Stade de la Beaujoire,FC Nantes,Havre Athletic Club,2 - 0
23,22/02/2026 16:15:00,Allianz Riviera,OGC Nice,FC Lorient,3 - 3
23,22/02/2026 19:45:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique Lyonnais,3 - 1
24,27/02/2026 19:45:00,Stade de la Meinau,RC Strasbourg Alsace,RC Lens,1 - 1
24,28/02/2026 16:00:00,Roazhon Park,Stade Rennais FC,Toulouse FC,1 - 0
24,28/02/2026 18:00:00,Stade Louis II,AS Monaco,Angers SCO,2 - 0
24,28/02/2026 20:05:00,Stade Océane,Havre Athletic Club,Paris Saint-Germain,0 - 1
24,01/03/2026 14:00:00,Stade Charléty,Paris FC,OGC Nice,1 - 0
24,01/03/2026 16:15:00,Stade Pierre-Mauroy,LOSC Lille,FC Nantes,1 - 0
24,01/03/2026 16:15:00,Stade du Moustoir,FC Lorient,AJ Auxerre,2 - 2
24,01/03/2026 16:15:00,Stade Saint-Symphorien,FC Metz,Stade Brestois 29,0 - 1
24,01/03/2026 19:45:00,Stade Vélodrome,Olympique de Marseille,Olympique Lyonnais,3 - 2
25,06/03/2026 19:45:00,Parc des Princes,Paris Saint-Germain,AS Monaco,1 - 3
25,07/03/2026 16:00:00,Stade de la Beaujoire,FC Nantes,Angers SCO,0 - 1
25,07/03/2026 18:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,RC Strasbourg Alsace,0 - 0
25,07/03/2026 20:05:00,Stadium de Toulouse,Toulouse FC,Olympique de Marseille,0 - 1
25,08/03/2026 14:00:00,Stade Bollaert-Delelis,RC Lens,FC Metz,3 - 0
25,08/03/2026 16:15:00,Stade Francis-Le Blé,Stade Brestois 29,Havre Athletic Club,2 - 0
25,08/03/2026 16:15:00,Stade Pierre-Mauroy,LOSC Lille,FC Lorient,1 - 1
25,08/03/2026 16:15:00,Allianz Riviera,OGC Nice,Stade Rennais FC,0 - 4
25,08/03/2026 19:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,Paris FC,1 - 1
26,13/03/2026 19:45:00,Stade Vélodrome,Olympique de Marseille,AJ Auxerre,-
26,14/03/2026 16:00:00,Stade du Moustoir,FC Lorient,RC Lens,-
26,14/03/2026 18:00:00,Stade Raymond Kopa,Angers SCO,OGC Nice,-
26,14/03/2026 20:05:00,Stade Louis II,AS Monaco,Stade Brestois 29,-
26,14/03/2026 23:00:00,Parc des Princes,Paris Saint-Germain,FC Nantes,-
26,15/03/2026 14:00:00,Stade de la Meinau,RC Strasbourg Alsace,Paris FC,-
26,15/03/2026 16:15:00,Stade Océane,Havre Athletic Club,Olympique Lyonnais,-
26,15/03/2026 16:15:00,Stade Saint-Symphorien,FC Metz,Toulouse FC,-
26,15/03/2026 19:45:00,Roazhon Park,Stade Rennais FC,LOSC Lille,-
27,21/03/2026 23:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Stade Brestois 29,-
27,21/03/2026 23:00:00,Stade Bollaert-Delelis,RC Lens,Angers SCO,-
27,21/03/2026 23:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,AS Monaco,-
27,21/03/2026 23:00:00,Stade Vélodrome,Olympique de Marseille,LOSC Lille,-
27,21/03/2026 23:00:00,Stade de la Beaujoire,FC Nantes,RC Strasbourg Alsace,-
27,21/03/2026 23:00:00,Allianz Riviera,OGC Nice,Paris Saint-Germain,-
27,21/03/2026 23:00:00,Stade Charléty,Paris FC,Havre Athletic Club,-
27,21/03/2026 23:00:00,Roazhon Park,Stade Rennais FC,FC Metz,-
27,21/03/2026 23:00:00,Stadium de Toulouse,Toulouse FC,FC Lorient,-
28,04/04/2026 22:00:00,Stade Raymond Kopa,Angers SCO,Olympique Lyonnais,-
28,04/04/2026 22:00:00,Stade Francis-Le Blé,Stade Brestois 29,Stade Rennais FC,-
28,04/04/2026 22:00:00,Stade Océane,Havre Athletic Club,AJ Auxerre,-
28,04/04/2026 22:00:00,Stade Pierre-Mauroy,LOSC Lille,RC Lens,-
28,04/04/2026 22:00:00,Stade du Moustoir,FC Lorient,Paris FC,-
28,04/04/2026 22:00:00,Stade Saint-Symphorien,FC Metz,FC Nantes,-
28,04/04/2026 22:00:00,Stade Louis II,AS Monaco,Olympique de Marseille,-
28,04/04/2026 22:00:00,Parc des Princes,Paris Saint-Germain,Toulouse FC,-
28,04/04/2026 22:00:00,Stade de la Meinau,RC Strasbourg Alsace,OGC Nice,-
29,11/04/2026 22:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,FC Nantes,-
29,11/04/2026 22:00:00,Stade Francis-Le Blé,Stade Brestois 29,RC Strasbourg Alsace,-
29,11/04/2026 22:00:00,Stade Bollaert-Delelis,RC Lens,Paris Saint-Germain,-
29,11/04/2026 22:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,FC Lorient,-
29,11/04/2026 22:00:00,Stade Vélodrome,Olympique de Marseille,FC Metz,-
29,11/04/2026 22:00:00,Allianz Riviera,OGC Nice,Havre Athletic Club,-
29,11/04/2026 22:00:00,Stade Charléty,Paris FC,AS Monaco,-
29,11/04/2026 22:00:00,Roazhon Park,Stade Rennais FC,Angers SCO,-
29,11/04/2026 22:00:00,Stadium de Toulouse,Toulouse FC,LOSC Lille,-
30,18/04/2026 22:00:00,Stade Raymond Kopa,Angers SCO,Havre Athletic Club,-
30,18/04/2026 22:00:00,Stade Bollaert-Delelis,RC Lens,Toulouse FC,-
30,18/04/2026 22:00:00,Stade Pierre-Mauroy,LOSC Lille,OGC Nice,-
30,18/04/2026 22:00:00,Stade du Moustoir,FC Lorient,Olympique de Marseille,-
30,18/04/2026 22:00:00,Stade Saint-Symphorien,FC Metz,Paris FC,-
30,18/04/2026 22:00:00,Stade Louis II,AS Monaco,AJ Auxerre,-
30,18/04/2026 22:00:00,Stade de la Beaujoire,FC Nantes,Stade Brestois 29,-
30,18/04/2026 22:00:00,Parc des Princes,Paris Saint-Germain,Olympique Lyonnais,-
30,18/04/2026 22:00:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Rennais FC,-
31,25/04/2026 22:00:00,Stade Raymond Kopa,Angers SCO,Paris Saint-Germain,-
31,25/04/2026 22:00:00,Stade Francis-Le Blé,Stade Brestois 29,RC Lens,-
31,25/04/2026 22:00:00,Stade Océane,Havre Athletic Club,FC Metz,-
31,25/04/2026 22:00:00,Stade du Moustoir,FC Lorient,RC Strasbourg Alsace,-
31,25/04/2026 22:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,AJ Auxerre,-
31,25/04/2026 22:00:00,Stade Vélodrome,Olympique de Marseille,OGC Nice,-
31,25/04/2026 22:00:00,Stade Charléty,Paris FC,LOSC Lille,-
31,25/04/2026 22:00:00,Roazhon Park,Stade Rennais FC,FC Nantes,-
31,25/04/2026 22:00:00,Stadium de Toulouse,Toulouse FC,AS Monaco,-
32,02/05/2026 22:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Angers SCO,-
32,02/05/2026 22:00:00,Stade Pierre-Mauroy,LOSC Lille,Havre Athletic Club,-
32,02/05/2026 22:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade Rennais FC,-
32,02/05/2026 22:00:00,Stade Saint-Symphorien,FC Metz,AS Monaco,-
32,02/05/2026 22:00:00,Stade de la Beaujoire,FC Nantes,Olympique de Marseille,-
32,02/05/2026 22:00:00,Allianz Riviera,OGC Nice,RC Lens,-
32,02/05/2026 22:00:00,Stade Charléty,Paris FC,Stade Brestois 29,-
32,02/05/2026 22:00:00,Parc des Princes,Paris Saint-Germain,FC Lorient,-
32,02/05/2026 22:00:00,Stade de la Meinau,RC Strasbourg Alsace,Toulouse FC,-
33,08/05/2026 22:00:00,Stade Raymond Kopa,Angers SCO,RC Strasbourg Alsace,-
