Round Number,Date,Location,Home Team,Away Team,Result
1,16/08/2024 18:45:00,Stade Océane,Havre Athletic Club,Paris Saint-Germain,1 - 4
1,17/08/2024 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,Olympique de Marseille,1 - 5
1,17/08/2024 17:00:00,Stade Auguste Delaune,Stade DE Reims,LOSC Lille,0 - 2
1,17/08/2024 19:00:00,Stade Louis II,AS Monaco,AS Saint-Étienne,1 - 0
1,18/08/2024 13:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,OGC Nice,2 - 1
1,18/08/2024 15:00:00,Stade Raymond Kopa,Angers SCO,RC Lens,0 - 1
1,18/08/2024 15:00:00,Stade de la Mosson,Montpellier Hérault SC,RC Strasbourg Alsace,1 - 1
1,18/08/2024 15:00:00,Stadium Municipal,Toulouse FC,FC Nantes,0 - 0
1,18/08/2024 18:45:00,Roazhon Park,Stade Rennais FC,Olympique Lyonnais,3 - 0
2,23/08/2024 18:45:00,Parc des Princes,Paris Saint-Germain,Montpellier Hérault SC,6 - 0
2,24/08/2024 17:00:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,Angers SCO,2 - 0
2,24/08/2024 19:00:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Havre Athletic Club,0 - 2
2,24/08/2024 22:00:00,Groupama Stadium,Olympique Lyonnais,AS Monaco,0 - 2
2,25/08/2024 13:00:00,Stade Bollaert-Delelis,RC Lens,Stade Brestois 29,2 - 0
2,25/08/2024 15:00:00,Stade de la Beaujoire,FC Nantes,AJ Auxerre,2 - 0
2,25/08/2024 15:00:00,Allianz Riviera,OGC Nice,Toulouse FC,1 - 1
2,25/08/2024 15:00:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Rennais FC,3 - 1
2,25/08/2024 18:45:00,Orange Vélodrome,Olympique de Marseille,Stade DE Reims,2 - 2
3,30/08/2024 18:45:00,Groupama Stadium,Olympique Lyonnais,RC Strasbourg Alsace,4 - 3
3,31/08/2024 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,AS Saint-Étienne,4 - 0
3,31/08/2024 17:00:00,Stade de la Mosson,Montpellier Hérault SC,FC Nantes,1 - 3
3,31/08/2024 19:00:00,Stadium Municipal,Toulouse FC,Olympique de Marseille,1 - 3
3,01/09/2024 13:00:00,Stade Louis II,AS Monaco,RC Lens,1 - 1
3,01/09/2024 15:00:00,Stade Raymond Kopa,Angers SCO,OGC Nice,1 - 4
3,01/09/2024 15:00:00,Stade Océane,Havre Athletic Club,AJ Auxerre,3 - 1
3,01/09/2024 15:00:00,Stade Auguste Delaune,Stade DE Reims,Stade Rennais FC,2 - 1
3,01/09/2024 18:45:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,Paris Saint-Germain,1 - 3
4,13/09/2024 18:45:00,Stade Geoffroy-Guichard,AS Saint-Étienne,LOSC Lille,1 - 0
4,14/09/2024 15:00:00,Orange Vélodrome,Olympique de Marseille,OGC Nice,2 - 0
