Round Number,Date,Location,Home Team,Away Team,Result
35,13/05/2023 21:00:00,Parc des Princes,Paris Saint-Germain,AC Ajaccio,5 - 0
35,14/05/2023 13:00:00,Stade Gabriel Montpied,Clermont Foot 63,Olympique Lyonnais,2 - 1
35,14/05/2023 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,AJ Auxerre,1 - 0
35,14/05/2023 15:00:00,Stade de la Mosson,Montpellier Hérault SC,FC Lorient,1 - 1
35,14/05/2023 15:00:00,Roazhon Park,Stade Rennais FC,ESTAC Troyes,4 - 0
35,14/05/2023 15:00:00,Stadium de Toulouse,Toulouse FC,FC Nantes,0 - 0
35,14/05/2023 17:05:00,Stade Louis II,AS Monaco,LOSC Lille,0 - 0
35,14/05/2023 20:45:00,Stade Vélodrome,Olympique de Marseille,Angers SCO,3 - 1
36,19/05/2023 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,AS Monaco,3 - 1
36,20/05/2023 17:00:00,Stade de la Beaujoire,FC Nantes,Montpellier Hérault SC,0 - 3
36,20/05/2023 21:00:00,Stade Pierre-Mauroy,LOSC Lille,Olympique de Marseille,2 - 1
36,21/05/2023 13:00:00,Stade François Coty,AC Ajaccio,Stade Rennais FC,0 - 5
36,21/05/2023 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,Clermont Foot 63,2 - 1
36,21/05/2023 15:00:00,Stade de Nice,OGC Nice,Toulouse FC,0 - 0
36,21/05/2023 15:00:00,Stade Auguste-Delaune,Stade de Reims,Angers SCO,2 - 2
36,21/05/2023 15:00:00,Stade de l'Aube,ESTAC Troyes,RC Strasbourg Alsace,1 - 1
36,21/05/2023 17:05:00,Stade du Moustoir,FC Lorient,RC Lens,1 - 3
36,21/05/2023 20:45:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Paris Saint-Germain,1 - 2
37,27/05/2023 21:00:00,Stade Raymond Kopa,Angers SCO,ESTAC Troyes,2 - 1
37,27/05/2023 21:00:00,Stade Gabriel Montpied,Clermont Foot 63,FC Lorient,2 - 0
37,27/05/2023 21:00:00,Stade Bollaert-Delelis,RC Lens,AC Ajaccio,3 - 0
37,27/05/2023 21:00:00,Stade Pierre-Mauroy,LOSC Lille,FC Nantes,2 - 1
37,27/05/2023 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade de Reims,3 - 0
37,27/05/2023 21:00:00,Stade Vélodrome,Olympique de Marseille,Stade Brestois 29,1 - 2
37,27/05/2023 21:00:00,Stade de la Mosson,Montpellier Hérault SC,OGC Nice,2 - 3
37,27/05/2023 21:00:00,Roazhon Park,Stade Rennais FC,AS Monaco,2 - 0
37,27/05/2023 21:00:00,Stade de la Meinau,RC Strasbourg Alsace,Paris Saint-Germain,1 - 1
37,27/05/2023 21:00:00,Stadium de Toulouse,Toulouse FC,AJ Auxerre,1 - 1
38,03/06/2023 21:00:00,Stade François Coty,AC Ajaccio,Olympique de Marseille,1 - 0
38,03/06/2023 21:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,RC Lens,1 - 3
38,03/06/2023 21:00:00,Stade Francis-Le Blé,Stade Brestois 29,Stade Rennais FC,1 - 2
38,03/06/2023 21:00:00,Stade du Moustoir,FC Lorient,RC Strasbourg Alsace,2 - 1
38,03/06/2023 21:00:00,Stade Louis II,AS Monaco,Toulouse FC,1 - 2
38,03/06/2023 21:00:00,Stade de la Beaujoire,FC Nantes,Angers SCO,1 - 0
38,03/06/2023 21:00:00,Stade de Nice,OGC Nice,Olympique Lyonnais,3 - 1
38,03/06/2023 21:00:00,Parc des Princes,Paris Saint-Germain,Clermont Foot 63,2 - 3
38,03/06/2023 21:00:00,Stade Auguste-Delaune,Stade de Reims,Montpellier Hérault SC,1 - 3
38,03/06/2023 21:00:00,Stade de l'Aube,ESTAC Troyes,LOSC Lille,1 - 1
