Round Number,Date,Location,Home Team,Away Team,Result
14,05/11/2022 21:00:00,Stade Raymond Kopa,Angers SCO,RC Lens,1 - 2
14,06/11/2022 13:00:00,Stade du Moustoir,FC Lorient,Paris Saint-Germain,1 - 2
14,06/11/2022 15:00:00,Stade Gabriel Montpied,Clermont Foot 63,Montpellier Hérault SC,1 - 1
14,06/11/2022 15:00:00,Stade de Nice,OGC Nice,Stade Brestois 29,1 - 0
14,06/11/2022 15:00:00,Stade Auguste-Delaune,Stade de Reims,FC Nantes,1 - 0
14,06/11/2022 15:00:00,Stadium de Toulouse,Toulouse FC,AS Monaco,0 - 2
14,06/11/2022 17:05:00,Stade Pierre-Mauroy,LOSC Lille,Stade Rennais FC,1 - 1
14,06/11/2022 20:45:00,Stade Vélodrome,Olympique de Marseille,Olympique Lyonnais,1 - 0
15,11/11/2022 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,OGC Nice,1 - 1
15,12/11/2022 17:00:00,Stade Bollaert-Delelis,RC Lens,Clermont Foot 63,2 - 1
15,12/11/2022 21:00:00,Roazhon Park,Stade Rennais FC,Toulouse FC,2 - 1
15,13/11/2022 13:00:00,Parc des Princes,Paris Saint-Germain,AJ Auxerre,5 - 0
15,13/11/2022 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,ESTAC Troyes,2 - 1
15,13/11/2022 15:00:00,Stade Pierre-Mauroy,LOSC Lille,Angers SCO,1 - 0
15,13/11/2022 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Stade de Reims,1 - 1
15,13/11/2022 15:00:00,Stade de la Beaujoire,FC Nantes,AC Ajaccio,2 - 2
15,13/11/2022 17:05:00,Stade de la Meinau,RC Strasbourg Alsace,FC Lorient,1 - 1
15,13/11/2022 20:45:00,Stade Louis II,AS Monaco,Olympique de Marseille,2 - 3
16,28/12/2022 15:00:00,Stade François Coty,AC Ajaccio,Angers SCO,1 - 0
16,28/12/2022 15:00:00,Stade de l'Aube,ESTAC Troyes,FC Nantes,0 - 0
16,28/12/2022 17:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,AS Monaco,2 - 3
16,28/12/2022 19:00:00,Stade Gabriel Montpied,Clermont Foot 63,LOSC Lille,0 - 2
