Round Number,Date,Location,homeTeam,Away Team,Result
6,16/09/2018 17:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,Nîmes Olympique,3 - 3
6,16/09/2018 21:00:00,Stade Vélodrome,Olympique de Marseille,EA Guingamp,4 - 0
7,21/09/2018 20:45:00,Stade Louis II,AS Monaco,Nîmes Olympique,1 - 1
7,22/09/2018 17:00:00,Stade Pierre-Mauroy,LOSC,FC Nantes,2 - 1
7,22/09/2018 20:00:00,Stade Raymond Kopa,Angers SCO,Toulouse FC,0 - 0
7,22/09/2018 20:00:00,Stade de la Mosson,Montpellier Hérault SC,OGC Nice,1 - 0
7,22/09/2018 20:00:00,Stade Auguste-Delaune,Stade de Reims,Dijon FCO,0 - 0
7,22/09/2018 20:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,SM Caen,2 - 1
7,22/09/2018 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,Amiens SC,3 - 1
7,23/09/2018 15:00:00,Roazhon Park,Stade Rennais FC,Paris Saint-Germain,1 - 3
7,23/09/2018 17:00:00,Stade de Roudourou,EA Guingamp,Girondins de Bordeaux,1 - 3
7,23/09/2018 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Olympique de Marseille,4 - 2
8,25/09/2018 19:00:00,Stade Louis II,AS Monaco,Angers SCO,0 - 1
8,25/09/2018 19:00:00,Stade de la Beaujoire,FC Nantes,OGC Nice,1 - 2
8,25/09/2018 21:00:00,Stadium Municipal,Toulouse FC,AS Saint-Etienne,2 - 3
8,26/09/2018 19:00:00,Stade de la Licorne,Amiens SC,Stade Rennais FC,2 - 1
8,26/09/2018 19:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,LOSC,1 - 0
8,26/09/2018 19:00:00,Stade Michel d'Ornano,SM Caen,Montpellier Hérault SC,2 - 2
8,26/09/2018 19:00:00,Stade Vélodrome,Olympique de Marseille,RC Strasbourg Alsace,3 - 0
8,26/09/2018 19:00:00,Stade des Costières,Nîmes Olympique,EA Guingamp,0 - 0
8,26/09/2018 20:00:00,Stade Gaston Gérard,Dijon FCO,Olympique Lyonnais,0 - 3
8,26/09/2018 21:00:00,Parc des Princes,Paris Saint-Germain,Stade de Reims,4 - 1
9,28/09/2018 20:45:00,Stade Geoffroy-Guichard,AS Saint-Etienne,AS Monaco,2 - 0
9,29/09/2018 17:15:00,Allianz Riviera,OGC Nice,Paris Saint-Germain,0 - 3
9,29/09/2018 20:00:00,Stade Raymond Kopa,Angers SCO,EA Guingamp,0 - 1
9,29/09/2018 20:00:00,Stade Michel d'Ornano,SM Caen,Amiens SC,1 - 0
9,29/09/2018 20:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,FC Nantes,1 - 1
9,29/09/2018 20:00:00,Stade Auguste-Delaune,Stade de Reims,Girondins de Bordeaux,0 - 0
9,29/09/2018 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,Dijon FCO,3 - 0
9,30/09/2018 15:00:00,Roazhon Park,Stade Rennais FC,Toulouse FC,1 - 1
9,30/09/2018 17:00:00,Stade de la Mosson,Montpellier Hérault SC,Nîmes Olympique,3 - 0
9,30/09/2018 21:00:00,Stade Pierre-Mauroy,LOSC,Olympique de Marseille,3 - 0
10,05/10/2018 20:45:00,Stadium Municipal,Toulouse FC,OGC Nice,1 - 1
10,06/10/2018 17:00:00,Stade Pierre-Mauroy,LOSC,AS Saint-Etienne,3 - 1
10,06/10/2018 20:00:00,Stade de la Licorne,Amiens SC,Dijon FCO,1 - 0
10,06/10/2018 20:00:00,Stade Raymond Kopa,Angers SCO,RC Strasbourg Alsace,2 - 2
10,06/10/2018 20:00:00,Stade de Roudourou,EA Guingamp,Montpellier Hérault SC,1 - 1
10,06/10/2018 20:00:00,Stade des Costières,Nîmes Olympique,Stade de Reims,0 - 0
10,07/10/2018 15:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,FC Nantes,3 - 0
10,07/10/2018 17:00:00,Stade Vélodrome,Olympique de Marseille,SM Caen,2 - 0
10,07/10/2018 17:00:00,Stade Louis II,AS Monaco,Stade Rennais FC,1 - 2
10,07/10/2018 21:00:00,Parc des Princes,Paris Saint-Germain,Olympique Lyonnais,5 - 0
11,19/10/2018 20:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,Nîmes Olympique,2 - 0
11,20/10/2018 17:00:00,Parc des Princes,Paris Saint-Germain,Amiens SC,5 - 0
11,20/10/2018 20:00:00,Stade Michel d'Ornano,SM Caen,EA Guingamp,0 - 0
11,20/10/2018 20:00:00,Stade Gaston Gérard,Dijon FCO,LOSC,1 - 2
11,20/10/2018 20:00:00,Stade de la Beaujoire,FC Nantes,Toulouse FC,4 - 0
11,20/10/2018 20:00:00,Stade Auguste-Delaune,Stade de Reims,Angers SCO,1 - 1
11,20/10/2018 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,AS Monaco,2 - 1
11,21/10/2018 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Girondins de Bordeaux,2 - 0
11,21/10/2018 17:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Stade Rennais FC,1 - 1
11,21/10/2018 21:00:00,Allianz Riviera,OGC Nice,Olympique de Marseille,0 - 1
12,26/10/2018 20:45:00,Stade des Costières,Nîmes Olympique,AS Saint-Etienne,1 - 1
12,27/10/2018 17:00:00,Stade Raymond Kopa,Angers SCO,Olympique Lyonnais,1 - 2
12,27/10/2018 20:00:00,Stade de la Licorne,Amiens SC,FC Nantes,1 - 2
12,27/10/2018 20:00:00,Stade de Roudourou,EA Guingamp,RC Strasbourg Alsace,1 - 1
12,27/10/2018 20:00:00,Stade Pierre-Mauroy,LOSC,SM Caen,1 - 0
12,27/10/2018 20:00:00,Stade Louis II,AS Monaco,Dijon FCO,2 - 2
12,27/10/2018 20:00:00,Stadium Municipal,Toulouse FC,Montpellier Hérault SC,0 - 3
12,28/10/2018 15:00:00,Roazhon Park,Stade Rennais FC,Stade de Reims,0 - 2
12,28/10/2018 17:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,OGC Nice,0 - 1
12,28/10/2018 21:00:00,Stade Vélodrome,Olympique de Marseille,Paris Saint-Germain,0 - 2
13,02/11/2018 20:45:00,Parc des Princes,Paris Saint-Germain,LOSC,2 - 1
13,03/11/2018 17:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Girondins de Bordeaux,1 - 1
13,03/11/2018 20:00:00,Stade Michel d'Ornano,SM Caen,Stade Rennais FC,1 - 2
13,03/11/2018 20:00:00,Stade Gaston Gérard,Dijon FCO,Nîmes Olympique,0 - 4
13,03/11/2018 20:00:00,Allianz Riviera,OGC Nice,Amiens SC,1 - 0
13,03/11/2018 20:00:00,Stade Auguste-Delaune,Stade de Reims,AS Monaco,1 - 0
13,03/11/2018 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,Toulouse FC,1 - 1
13,04/11/2018 15:00:00,Stade de la Beaujoire,FC Nantes,EA Guingamp,5 - 0
13,04/11/2018 17:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Angers SCO,4 - 3
13,04/11/2018 21:00:00,Stade de la Mosson,Montpellier Hérault SC,Olympique de Marseille,3 - 0
14,09/11/2018 20:45:00,Stade Pierre-Mauroy,LOSC,RC Strasbourg Alsace,0 - 0
14,10/11/2018 17:00:00,Stade de Roudourou,EA Guingamp,Olympique Lyonnais,2 - 4
14,10/11/2018 20:00:00,Stade Raymond Kopa,Angers SCO,Montpellier Hérault SC,1 - 0
14,10/11/2018 20:00:00,Stade des Costières,Nîmes Olympique,OGC Nice,0 - 1
14,10/11/2018 20:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Stade de Reims,2 - 0
14,10/11/2018 20:00:00,Stadium Municipal,Toulouse FC,Amiens SC,0 - 1
14,11/11/2018 15:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,SM Caen,0 - 0
14,11/11/2018 17:00:00,Stade Vélodrome,Olympique de Marseille,Dijon FCO,2 - 0
14,11/11/2018 17:00:00,Roazhon Park,Stade Rennais FC,FC Nantes,1 - 1
14,11/11/2018 21:00:00,Stade Louis II,AS Monaco,Paris Saint-Germain,0 - 4
15,23/11/2018 20:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,AS Saint-Etienne,1 - 0
15,24/11/2018 17:00:00,Parc des Princes,Paris Saint-Germain,Toulouse FC,1 - 0
15,24/11/2018 20:00:00,Stade Michel d'Ornano,SM Caen,AS Monaco,0 - 1
15,24/11/2018 20:00:00,Stade Gaston Gérard,Dijon FCO,Girondins de Bordeaux,0 - 0
15,24/11/2018 20:00:00,Stade de la Beaujoire,FC Nantes,Angers SCO,1 - 1
15,24/11/2018 20:00:00,Stade Auguste-Delaune,Stade de Reims,EA Guingamp,2 - 1
15,24/11/2018 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,Nîmes Olympique,0 - 1
15,25/11/2018 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Stade Rennais FC,2 - 2
15,25/11/2018 17:00:00,Allianz Riviera,OGC Nice,LOSC,2 - 0
15,25/11/2018 21:00:00,Stade de la Licorne,Amiens SC,Olympique de Marseille,1 - 3
16,30/11/2018 20:45:00,Stade Geoffroy-Guichard,AS Saint-Etienne,FC Nantes,3 - 0
16,01/12/2018 17:00:00,Stade Pierre-Mauroy,LOSC,Olympique Lyonnais,2 - 2
16,01/12/2018 20:00:00,Stade Raymond Kopa,Angers SCO,SM Caen,1 - 1
16,01/12/2018 20:00:00,Stade de Roudourou,EA Guingamp,OGC Nice,0 - 0
16,01/12/2018 20:00:00,Stade Louis II,AS Monaco,Montpellier Hérault SC,1 - 2
16,01/12/2018 20:00:00,Stade des Costières,Nîmes Olympique,Amiens SC,3 - 0
16,02/12/2018 15:00:00,Stadium Municipal,Toulouse FC,Dijon FCO,2 - 2
16,02/12/2018 17:00:00,Stade Vélodrome,Olympique de Marseille,Stade de Reims,0 - 0
16,02/12/2018 17:00:00,Roazhon Park,Stade Rennais FC,RC Strasbourg Alsace,1 - 4
16,02/12/2018 21:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,Paris Saint-Germain,2 - 2
17,04/12/2018 19:00:00,Stade de la Licorne,Amiens SC,AS Monaco,0 - 2
17,04/12/2018 19:00:00,Allianz Riviera,OGC Nice,Angers SCO,0 - 0
17,04/12/2018 21:00:00,Stade de la Mosson,Montpellier Hérault SC,LOSC,0 - 1
17,05/12/2018 19:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,AS Saint-Etienne,3 - 2
17,05/12/2018 19:00:00,Stade Michel d'Ornano,SM Caen,Nîmes Olympique,1 - 2
17,05/12/2018 19:00:00,Stade Gaston Gérard,Dijon FCO,EA Guingamp,2 - 1
17,05/12/2018 19:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade Rennais FC,0 - 2
17,05/12/2018 19:00:00,Stade de la Beaujoire,FC Nantes,Olympique de Marseille,3 - 2
17,05/12/2018 19:00:00,Stade Auguste-Delaune,Stade de Reims,Toulouse FC,0 - 1
17,05/12/2018 21:00:00,Stade de la Meinau,RC Strasbourg Alsace,Paris Saint-Germain,1 - 1
18,08/12/2018 20:00:00,Stade de Roudourou,EA Guingamp,Amiens SC,1 - 2
18,08/12/2018 20:00:00,Roazhon Park,Stade Rennais FC,Dijon FCO,2 - 0
18,09/12/2018 15:00:00,Stade de la Meinau,RC Strasbourg Alsace,SM Caen,2 - 2
18,09/12/2018 17:00:00,Stade Pierre-Mauroy,LOSC,Stade de Reims,1 - 1
19,22/12/2018 21:00:00,Stade Raymond Kopa,Angers SCO,Olympique de Marseille,1 - 1
19,22/12/2018 21:00:00,Stade Pierre-Mauroy,LOSC,Toulouse FC,1 - 2
19,22/12/2018 21:00:00,Stade Louis II,AS Monaco,EA Guingamp,0 - 2
19,22/12/2018 21:00:00,Stade de la Mosson,Montpellier Hérault SC,Olympique Lyonnais,1 - 1
19,22/12/2018 21:00:00,Parc des Princes,Paris Saint-Germain,FC Nantes,1 - 0
19,22/12/2018 21:00:00,Stade Auguste-Delaune,Stade de Reims,SM Caen,2 - 2
19,22/12/2018 21:00:00,Roazhon Park,Stade Rennais FC,Nîmes Olympique,4 - 0
19,22/12/2018 21:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Dijon FCO,3 - 0
19,22/12/2018 21:00:00,Stade de la Meinau,RC Strasbourg Alsace,OGC Nice,2 - 0
19,23/12/2018 17:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,Amiens SC,1 - 1
20,08/01/2019 19:00:00,Stade de la Licorne,Amiens SC,Angers SCO,0 - 0
20,08/01/2019 19:00:00,Stade de la Beaujoire,FC Nantes,Montpellier Hérault SC,2 - 0
20,11/01/2019 19:00:00,Stade Michel d'Ornano,SM Caen,LOSC,1 - 3
20,11/01/2019 20:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade de Reims,1 - 1
20,12/01/2019 17:00:00,Stade de la Licorne,Amiens SC,Paris Saint-Germain,0 - 3
20,12/01/2019 20:00:00,Stade de Roudourou,EA Guingamp,AS Saint-Etienne,0 - 1
20,12/01/2019 20:00:00,Allianz Riviera,OGC Nice,Girondins de Bordeaux,1 - 0
20,13/01/2019 15:00:00,Stade de la Beaujoire,FC Nantes,Stade Rennais FC,0 - 1
20,13/01/2019 17:00:00,Stade Gaston Gérard,Dijon FCO,Montpellier Hérault SC,1 - 1
20,13/01/2019 17:00:00,Stadium Municipal,Toulouse FC,RC Strasbourg Alsace,1 - 2
20,13/01/2019 21:00:00,Stade Vélodrome,Olympique de Marseille,AS Monaco,1 - 1
21,15/01/2019 19:00:00,Stade Raymond Kopa,Angers SCO,Girondins de Bordeaux,1 - 2
21,16/01/2019 19:00:00,Stade Louis II,AS Monaco,OGC Nice,1 - 1
21,16/01/2019 19:00:00,Stade des Costières,Nîmes Olympique,FC Nantes,1 - 0
21,16/01/2019 19:00:00,Stadium Municipal,Toulouse FC,Olympique Lyonnais,2 - 2
21,16/01/2019 19:00:00,Stade de Roudourou,EA Guingamp,Stade Rennais FC,2 - 1
21,16/01/2019 21:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Olympique de Marseille,2 - 1
22,18/01/2019 20:45:00,Stade Pierre-Mauroy,LOSC,Amiens SC,2 - 1
22,19/01/2019 17:00:00,Parc des Princes,Paris Saint-Germain,EA Guingamp,9 - 0
22,19/01/2019 20:00:00,Stade Louis II,AS Monaco,RC Strasbourg Alsace,1 - 5
22,19/01/2019 20:00:00,Stade des Costières,Nîmes Olympique,Toulouse FC,0 - 1
22,19/01/2019 20:00:00,Stade Auguste-Delaune,Stade de Reims,OGC Nice,1 - 1
22,20/01/2019 15:00:00,Roazhon Park,Stade Rennais FC,Montpellier Hérault SC,0 - 0
22,20/01/2019 17:00:00,Stade Raymond Kopa,Angers SCO,FC Nantes,1 - 0
22,20/01/2019 17:00:00,Stade Michel d'Ornano,SM Caen,Olympique de Marseille,0 - 1
22,20/01/2019 19:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,Dijon FCO,1 - 0
22,20/01/2019 21:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Olympique Lyonnais,1 - 2
22,23/01/2019 19:00:00,Stade des Costières,Nîmes Olympique,Angers SCO,3 - 1
23,26/01/2019 20:00:00,Stade Gaston Gérard,Dijon FCO,AS Monaco,2 - 0
23,26/01/2019 20:00:00,Stade de Roudourou,EA Guingamp,Stade de Reims,0 - 1
23,26/01/2019 20:00:00,Stade Vélodrome,Olympique de Marseille,LOSC,1 - 2
23,26/01/2019 20:00:00,Allianz Riviera,OGC Nice,Nîmes Olympique,2 - 0
23,26/01/2019 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,Girondins de Bordeaux,1 - 0
23,27/01/2019 15:00:00,Stade de la Mosson,Montpellier Hérault SC,SM Caen,2 - 0
23,27/01/2019 17:00:00,Stade de la Licorne,Amiens SC,Olympique Lyonnais,0 - 1
23,27/01/2019 20:00:00,Stadium Municipal,Toulouse FC,Angers SCO,0 - 0
23,27/01/2019 21:00:00,Parc des Princes,Paris Saint-Germain,Stade Rennais FC,4 - 1
23,30/01/2019 21:00:00,Stade de la Beaujoire,FC Nantes,AS Saint-Etienne,1 - 1
24,01/02/2019 20:45:00,Stade Pierre-Mauroy,LOSC,OGC Nice,4 - 0
24,02/02/2019 20:00:00,Stade Raymond Kopa,Angers SCO,Dijon FCO,1 - 0
24,02/02/2019 20:00:00,Stade Louis II,AS Monaco,Toulouse FC,2 - 1
24,02/02/2019 20:00:00,Roazhon Park,Stade Rennais FC,Amiens SC,1 - 0
24,02/02/2019 21:00:00,Stade Auguste-Delaune,Stade de Reims,Olympique de Marseille,2 - 1
24,03/02/2019 15:00:00,Stade des Costières,Nîmes Olympique,Montpellier Hérault SC,1 - 1
24,03/02/2019 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Paris Saint-Germain,2 - 1
24,05/02/2019 19:00:00,Stade Vélodrome,Olympique de Marseille,Girondins de Bordeaux,1 - 0
25,08/02/2019 20:45:00,Stade Gaston Gérard,Dijon FCO,Olympique de Marseille,1 - 2
25,09/02/2019 17:00:00,Parc des Princes,Paris Saint-Germain,Girondins de Bordeaux,1 - 0
25,09/02/2019 20:00:00,Stade de la Licorne,Amiens SC,SM Caen,1 - 0
25,09/02/2019 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,Angers SCO,1 - 2
25,10/02/2019 15:00:00,Stade de la Mosson,Montpellier Hérault SC,AS Monaco,2 - 2
25,10/02/2019 15:00:00,Stade de la Beaujoire,FC Nantes,Nîmes Olympique,2 - 4
25,10/02/2019 15:00:00,Stadium Municipal,Toulouse FC,Stade de Reims,1 - 1
25,10/02/2019 17:00:00,Stade de Roudourou,EA Guingamp,LOSC,0 - 2
25,10/02/2019 17:00:00,Roazhon Park,Stade Rennais FC,AS Saint-Etienne,3 - 0
25,10/02/2019 21:00:00,Allianz Riviera,OGC Nice,Olympique Lyonnais,1 - 0
25,13/02/2019 19:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,RC Strasbourg Alsace,2 - 1
25,13/02/2019 19:30:00,Stade Michel d'Ornano,SM Caen,FC Nantes,0 - 1
26,15/02/2019 19:00:00,Stade des Costières,Nîmes Olympique,Dijon FCO,2 - 0
26,15/02/2019 20:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,EA Guingamp,2 - 1
26,16/02/2019 17:00:00,Stade Vélodrome,Olympique de Marseille,Amiens SC,2 - 0
26,16/02/2019 20:00:00,Stade Raymond Kopa,Angers SCO,OGC Nice,3 - 0
26,16/02/2019 20:00:00,Stade Louis II,AS Monaco,FC Nantes,1 - 0
26,17/02/2019 15:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,Toulouse FC,2 - 1
26,17/02/2019 15:00:00,Stade Michel d'Ornano,SM Caen,RC Strasbourg Alsace,0 - 0
26,17/02/2019 15:00:00,Stade Pierre-Mauroy,LOSC,Montpellier Hérault SC,0 - 0
26,17/02/2019 17:00:00,Stade Auguste-Delaune,Stade de Reims,Stade Rennais FC,2 - 0
26,17/02/2019 21:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Paris Saint-Germain,0 - 1
26,20/02/2019 19:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,EA Guingamp,0 - 0
26,20/02/2019 21:00:00,Parc des Princes,Paris Saint-Germain,Montpellier Hérault SC,5 - 1
27,22/02/2019 19:00:00,Stade Gaston Gérard,Dijon FCO,AS Saint-Etienne,0 - 1
27,22/02/2019 20:45:00,Stade de la Meinau,RC Strasbourg Alsace,LOSC,1 - 1
27,23/02/2019 17:00:00,Parc des Princes,Paris Saint-Germain,Nîmes Olympique,3 - 0
27,23/02/2019 20:00:00,Stade de la Licorne,Amiens SC,OGC Nice,1 - 0
27,23/02/2019 20:00:00,Stade de Roudourou,EA Guingamp,Angers SCO,1 - 0
27,24/02/2019 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Stade de Reims,2 - 4
27,24/02/2019 15:00:00,Stade de la Beaujoire,FC Nantes,Girondins de Bordeaux,1 - 0
27,24/02/2019 15:00:00,Stadium Municipal,Toulouse FC,SM Caen,1 - 1
27,24/02/2019 17:00:00,Roazhon Park,Stade Rennais FC,Olympique de Marseille,1 - 1
27,24/02/2019 21:00:00,Stade Louis II,AS Monaco,Olympique Lyonnais,2 - 0
28,02/03/2019 17:00:00,Stade Michel d'Ornano,SM Caen,Paris Saint-Germain,1 - 2
28,02/03/2019 20:00:00,Stade Raymond Kopa,Angers SCO,AS Monaco,2 - 2
28,02/03/2019 20:00:00,Stade Auguste-Delaune,Stade de Reims,Amiens SC,2 - 2
28,03/03/2019 15:00:00,Stade de Roudourou,EA Guingamp,FC Nantes,0 - 0
28,03/03/2019 15:00:00,Stade Pierre-Mauroy,LOSC,Dijon FCO,1 - 0
28,03/03/2019 15:00:00,Allianz Riviera,OGC Nice,RC Strasbourg Alsace,1 - 0
28,03/03/2019 17:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Toulouse FC,5 - 1
28,03/03/2019 21:00:00,Stade Vélodrome,Olympique de Marseille,AS Saint-Etienne,2 - 0
28,05/03/2019 19:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,Montpellier Hérault SC,1 - 2
29,09/03/2019 17:00:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique Lyonnais,2 - 2
29,09/03/2019 20:00:00,Stade de la Licorne,Amiens SC,Nîmes Olympique,2 - 1
29,09/03/2019 20:00:00,Stade Gaston Gérard,Dijon FCO,Stade de Reims,1 - 1
29,09/03/2019 20:00:00,Stade Louis II,AS Monaco,Girondins de Bordeaux,1 - 1
29,10/03/2019 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Angers SCO,2 - 2
29,10/03/2019 15:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,LOSC,0 - 1
29,10/03/2019 15:00:00,Stadium Municipal,Toulouse FC,EA Guingamp,1 - 0
29,10/03/2019 17:00:00,Roazhon Park,Stade Rennais FC,SM Caen,3 - 1
29,10/03/2019 21:00:00,Stade Vélodrome,Olympique de Marseille,OGC Nice,1 - 0
29,12/03/2019 19:00:00,Stade Gaston Gérard,Dijon FCO,Paris Saint-Germain,0 - 4
30,15/03/2019 19:00:00,Allianz Riviera,OGC Nice,Toulouse FC,1 - 1
30,15/03/2019 20:45:00,Stade Pierre-Mauroy,LOSC,AS Monaco,0 - 1
