Round Number,Date,Location,homeTeam,Away Team,Result
1,15/12/2018 20:00:00,Stade Auguste-Delaune,Stade de Reims,RC Strasbourg Alsace,2 - 1
1,16/12/2018 15:00:00,Stade des Costières,Nîmes Olympique,LOSC,2 - 3
1,16/12/2018 17:00:00,Allianz Riviera,OGC Nice,AS Saint-Etienne,1 - 1
1,16/12/2018 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,AS Monaco,3 - 0
1,18/12/2018 19:30:00,Stade Michel d'Ornano,SM Caen,Toulouse FC,2 - 1
2,10/08/2018 20:45:00,Stade Vélodrome,Olympique de Marseille,Toulouse FC,4 - 0
2,11/08/2018 17:00:00,Stade de la Beaujoire,FC Nantes,AS Monaco,1 - 3
2,11/08/2018 20:00:00,Stade Raymond Kopa,Angers SCO,Nîmes Olympique,3 - 4
2,11/08/2018 20:00:00,Stade Pierre-Mauroy,LOSC,Stade Rennais FC,3 - 1
2,11/08/2018 20:00:00,Stade de la Mosson,Montpellier Hérault SC,Dijon FCO,1 - 2
2,11/08/2018 20:00:00,Allianz Riviera,OGC Nice,Stade de Reims,0 - 1
2,11/08/2018 20:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,EA Guingamp,2 - 1
2,12/08/2018 15:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Amiens SC,2 - 0
2,12/08/2018 17:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,RC Strasbourg Alsace,0 - 2
2,12/08/2018 21:00:00,Parc des Princes,Paris Saint-Germain,SM Caen,3 - 0
3,17/08/2018 20:45:00,Stade Auguste-Delaune,Stade de Reims,Olympique Lyonnais,1 - 0
3,18/08/2018 17:00:00,Stade de Roudourou,EA Guingamp,Paris Saint-Germain,1 - 3
3,18/08/2018 20:00:00,Stade de la Licorne,Amiens SC,Montpellier Hérault SC,1 - 2
3,18/08/2018 20:00:00,Stade Michel d'Ornano,SM Caen,OGC Nice,1 - 1
3,18/08/2018 20:00:00,Stade Gaston Gérard,Dijon FCO,FC Nantes,2 - 0
3,18/08/2018 20:00:00,Stade Louis II,AS Monaco,LOSC,0 - 0
3,18/08/2018 20:00:00,Roazhon Park,Stade Rennais FC,Angers SCO,1 - 0
3,19/08/2018 15:00:00,Stade de la Meinau,RC Strasbourg Alsace,AS Saint-Etienne,1 - 1
3,19/08/2018 17:00:00,Stadium Municipal,Toulouse FC,Girondins de Bordeaux,2 - 1
3,19/08/2018 21:00:00,Stade des Costières,Nîmes Olympique,Olympique de Marseille,3 - 1
4,24/08/2018 20:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,RC Strasbourg Alsace,2 - 0
4,25/08/2018 17:00:00,Parc des Princes,Paris Saint-Germain,Angers SCO,3 - 1
4,25/08/2018 20:00:00,Stade de la Licorne,Amiens SC,Stade de Reims,4 - 1
4,25/08/2018 20:00:00,Stade de la Mosson,Montpellier Hérault SC,AS Saint-Etienne,0 - 0
4,25/08/2018 20:00:00,Stade de la Beaujoire,FC Nantes,SM Caen,1 - 1
4,25/08/2018 20:00:00,Allianz Riviera,OGC Nice,Dijon FCO,0 - 4
4,25/08/2018 20:00:00,Stadium Municipal,Toulouse FC,Nîmes Olympique,1 - 0
4,26/08/2018 15:00:00,Stade Pierre-Mauroy,LOSC,EA Guingamp,3 - 0
4,26/08/2018 17:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,AS Monaco,2 - 1
4,26/08/2018 21:00:00,Stade Vélodrome,Olympique de Marseille,Stade Rennais FC,2 - 2
5,31/08/2018 20:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,OGC Nice,0 - 1
5,01/09/2018 17:00:00,Stade des Costières,Nîmes Olympique,Paris Saint-Germain,2 - 4
5,01/09/2018 20:00:00,Stade Raymond Kopa,Angers SCO,LOSC,1 - 0
5,01/09/2018 20:00:00,Stade Gaston Gérard,Dijon FCO,SM Caen,0 - 2
5,01/09/2018 20:00:00,Stade de Roudourou,EA Guingamp,Toulouse FC,1 - 2
5,01/09/2018 20:00:00,Stade Auguste-Delaune,Stade de Reims,Montpellier Hérault SC,0 - 1
5,01/09/2018 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,FC Nantes,2 - 3
5,02/09/2018 15:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Amiens SC,0 - 0
5,02/09/2018 17:00:00,Roazhon Park,Stade Rennais FC,Girondins de Bordeaux,2 - 0
5,02/09/2018 21:00:00,Stade Louis II,AS Monaco,Olympique de Marseille,2 - 3
6,14/09/2018 19:00:00,Allianz Riviera,OGC Nice,Stade Rennais FC,2 - 1
6,14/09/2018 20:45:00,Parc des Princes,Paris Saint-Germain,AS Saint-Etienne,4 - 0
6,15/09/2018 17:00:00,Stade Michel d'Ornano,SM Caen,Olympique Lyonnais,2 - 2
6,15/09/2018 20:00:00,Stade de la Licorne,Amiens SC,LOSC,2 - 3
6,15/09/2018 20:00:00,Stade Gaston Gérard,Dijon FCO,Angers SCO,1 - 3
6,15/09/2018 20:00:00,Stade de la Mosson,Montpellier Hérault SC,RC Strasbourg Alsace,1 - 1
6,15/09/2018 20:00:00,Stadium Municipal,Toulouse FC,AS Monaco,1 - 1
6,16/09/2018 15:00:00,Stade de la Beaujoire,FC Nantes,Stade de Reims,0 - 0
